time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00276,-0.0047306998076184,-0.002256033390384
0.02,-0.00552,-0.0054373381348388,-0.0025904736563179
0.03,-0.00828,-0.0060871669038657,-0.0028971942755099
0.04,-0.01104,-0.0070619963495722,-0.0033587025555291
0.05,-0.0138,-0.012407348253323,-0.0059073570934775
0.06,-0.01656,-0.017082207300165,-0.0081324528050706
0.07,-0.01932,-0.023622847972982,-0.011245728547881
0.08,-0.02208,-0.029030266502352,-0.013813693828597
0.09,-0.02484,-0.032832649142576,-0.015611738301249
0.1,-0.0276,-0.035888958591891,-0.017050280054045
0.11,-0.03036,-0.043311823726964,-0.020572058191217
0.12,-0.03312,-0.054451260503644,-0.025863555995744
0.13,-0.03588,-0.063960714551616,-0.030370584579509
0.14,-0.03864,-0.071604589242432,-0.033981017740366
0.15,-0.0414,-0.077469217673068,-0.036737050781008
0.16,-0.04416,-0.08255116827463,-0.039114588608546
0.17,-0.04692,-0.093959999747813,-0.044511198427387
0.18,-0.04968,-0.10714887669831,-0.050751121096168
0.19,-0.05244,-0.11831714674701,-0.056018282145335
0.2,-0.0552,-0.12730516009532,-0.060237349435551
0.21,-0.05796,-0.13668215960219,-0.064634000553045
0.22,-0.06072,-0.14632674420844,-0.069153387985424
0.23,-0.06348,-0.16203609253524,-0.076564010169412
0.24,-0.06624,-0.17602795942497,-0.083144725073808
0.25,-0.069,-0.19054782958818,-0.089967867508479
0.26,-0.07176,-0.20335002770116,-0.095962340147132
0.27,-0.07452,-0.21433033996204,-0.10107876580145
0.28,-0.07728,-0.22980043740269,-0.10833420177232
0.29,-0.08004,-0.24687187938801,-0.11634445381176
0.3,-0.0828,-0.26519265931874,-0.12493967290024
0.31,-0.08556,-0.28040781736511,-0.13204200200759
0.32,-0.08832,-0.29316354587,-0.13795890405735
0.33,-0.09108,-0.30830068118064,-0.14500471076522
0.34,-0.09384,-0.32957584069501,-0.15497248126155
0.35,-0.0966,-0.35073661785945,-0.1648721145506
0.36,-0.09936,-0.36823040407858,-0.17300797228198
0.37,-0.10212,-0.38358960974846,-0.18011268592432
0.38,-0.10488,-0.40319025874819,-0.18923262782706
0.39,-0.10764,-0.42668311734022,-0.20020002842402
0.4,-0.1104,-0.44894613618903,-0.21056675716145
0.41,-0.11316,-0.4688852776543,-0.21980972394437
0.42,-0.11592,-0.48894439412448,-0.22909632679833
