disp_y,id,x,y,z
-0.014223984300671,58,0,-0.8,0
-0.0084571135226642,56,0,-0.9,0
-0.022347567001847,60,0,-0.7,0
-0.004576159298256,54,0,-1,0
-0.032773469731116,62,0,-0.6,0
-0.0021134416256231,52,0,-1.1,0
-0.00075948869022992,50,0,-1.2,0
-0.00020618402320338,48,0,-1.3,0
-2.6305478663802e-05,46,0,-1.4,0
3.6770110266436e-05,44,0,-1.5,0
5.5398079140891e-05,42,0,-1.6,0
5.290682442819e-05,40,0,-1.7,0
3.957506430611e-05,38,0,-1.8,0
2.0900044306029e-05,35,0,-1.9,0
0,34,0,-2,0
-0.11068555184173,711,0,-0.2,0
-0.06381555898855,484,0,-0.4,0
-0.054651562686031,482,0,-0.45,0
-0.046386016455425,479,0,-0.5,0
-0.11412574289537,742,0,-0.1875,0
-0.11760172160497,744,0,-0.175,0
-0.12476199852522,748,0,-0.15,0
-0.12119210627751,751,0,-0.1625,0
-0.10409506668413,598,0,-0.225,0
-0.097650273397232,592,0,-0.25,0
-0.091399399522743,590,0,-0.275,0
-0.079528862076819,583,0,-0.325,0
-0.085254354095122,580,0,-0.3,0
-0.074056568388195,569,0,-0.35,0
-0.13940174922865,762,0,-0.1,0
-0.13572450844825,765,0,-0.1125,0
-0.13204310394346,770,0,-0.125,0
-0.12839453713437,780,0,-0.1375,0
-0.14307560410039,808,0,-0.0875,0
-0.14669549844577,810,0,-0.075,0
-0.1536107470922,814,0,-0.05,0
-0.15024473390111,817,0,-0.0625,0
-0.16180719802612,828,0,0,0
-0.16085304070876,831,0,-0.0125,0
-0.15914997317415,836,0,-0.025,0
-0.1567714921811,846,0,-0.0375,0
-0.10709242321168,713,0.0125,-0.2125,0
-0.1104721914697,712,0.0125,-0.2,0
-0.11385034395224,743,0.0125,-0.1875,0
-0.11735246324529,745,0.0125,-0.175,0
-0.12086096557015,750,0.0125,-0.1625,0
-0.12442832102063,749,0.0125,-0.15,0
-0.12801829673489,781,0.0125,-0.1375,0
-0.16109098974951,829,0.0125,0,0
-0.16037139152165,830,0.0125,-0.0125,0
-0.15857437084239,835,0.0125,-0.025,0
-0.13164219388334,769,0.0125,-0.125,0
-0.15593352354795,847,0.0125,-0.0375,0
-0.152908303546,815,0.0125,-0.05,0
-0.1461004883531,811,0.0125,-0.075,0
-0.13527428965744,764,0.0125,-0.1125,0
-0.14957455818416,816,0.0125,-0.0625,0
-0.14252734405649,809,0.0125,-0.0875,0
-0.13891268667585,763,0.0125,-0.1,0
-0.084754670067872,581,0.025,-0.3,0
-0.090686925363552,591,0.025,-0.275,0
-0.078976227813249,582,0.025,-0.325,0
-0.096901016512075,593,0.025,-0.25,0
-0.07360631625532,570,0.025,-0.35,0
-0.068416689307497,571,0.025,-0.375,0
-0.10334153060954,596,0.025,-0.225,0
-0.10651709731199,707,0.025,-0.2125,0
-0.10983711351814,710,0.025,-0.2,0
-0.11327809535564,747,0.025,-0.1875,0
-0.1166788188492,746,0.025,-0.175,0
-0.12014533445753,753,0.025,-0.1625,0
-0.12364036975312,752,0.025,-0.15,0
-0.12717023305613,779,0.025,-0.1375,0
-0.16016031947597,832,0.025,0,0
-0.15900744962309,833,0.025,-0.0125,0
-0.13070818206304,768,0.025,-0.125,0
-0.15423659617704,845,0.025,-0.0375,0
-0.15683501463766,834,0.025,-0.025,0
-0.15126905607629,818,0.025,-0.05,0
-0.14808886972176,819,0.025,-0.0625,0
-0.13425603487416,767,0.025,-0.1125,0
-0.14473603207394,812,0.025,-0.075,0
-0.14129327953773,813,0.025,-0.0875,0
-0.13778813848634,766,0.025,-0.1,0
-0.10562909456908,708,0.0375,-0.2125,0
