time,disp_y_top,h,react_y_top,stress_yy
0,0,0,0,0
0.01,-0.00226,0.15343116808001,-0.010414725279904,-0.00081866423173528
0.02,-0.00452,0.15343116808001,-0.021253837421912,-0.0016897857501483
0.03,-0.00678,0.15343116808001,-0.039476545775441,-0.0031374532872073
0.04,-0.00904,0.15343116808001,-0.053549003464897,-0.0042536955482395
0.05,-0.0113,0.15343116808001,-0.07205626545625,-0.0057211161571089
0.06,-0.01356,0.15343116808001,-0.085208529978596,-0.0067612299555682
0.07,-0.01582,0.15343116808001,-0.10713229531952,-0.0084977853813809
0.08,-0.01808,0.15343116808001,-0.13159084964389,-0.010434124362356
0.09,-0.02034,0.15343116808001,-0.14983187755704,-0.011874225609603
0.1,-0.0226,0.15343116808001,-0.1771020112335,-0.014030175380444
0.11,-0.02486,0.15343116808001,-0.19724331782439,-0.015617159465222
0.12,-0.02712,0.15343116808001,-0.22785207468511,-0.018035016562497
0.13,-0.02938,0.15343116808001,-0.26135544000203,-0.020680795614927
0.14,-0.03164,0.15343116808001,-0.28740273377035,-0.022731239904636
0.15,-0.0339,0.15343116808001,-0.32297990142779,-0.025536705892816
0.16,-0.03616,0.15343116808001,-0.35006521218431,-0.027664134083472
0.17,-0.03842,0.15343116808001,-0.3918218428698,-0.030956156344162
0.18,-0.04068,0.15343116808001,-0.43316624850509,-0.034212470443072
0.19,-0.04294,0.15343116808001,-0.46813785525181,-0.036958834461869
0.2,-0.0452,0.15343116808001,-0.51168665363053,-0.040383603498506
0.21,-0.04746,0.15343116808001,-0.54500567122675,-0.042991636974591
0.22,-0.04972,0.15343116808001,-0.5996773669385,-0.047294966930135
0.23,-0.05198,0.15343116808001,-0.64795355859639,-0.051085929192309
0.24,-0.05424,0.15343116808001,-0.69374507353907,-0.054675303703455
0.25,-0.0565,0.15343116808001,-0.74432773969025,-0.058641285603994
0.26,-0.05876,0.15343116808001,-0.78648143381539,-0.061933241680298
0.27,-0.06102,0.15343116808001,-0.85383731544263,-0.067225680541049
0.28,-0.06328,0.15343116808001,-0.90732138363983,-0.071410645522705
0.29,-0.06554,0.15343116808001,-0.96547291486912,-0.075961512574299
0.3,-0.0678,0.15343116808001,-1.0216413092369,-0.080349798465671
0.31,-0.07006,0.15343116808001,-1.0792755393891,-0.08484991632595
0.32,-0.07232,0.15343116808001,-1.154753960921,-0.09076416192686
0.33,-0.07458,0.15343116808001,-1.2128092025822,-0.095288760735002
0.34,-0.07684,0.15343116808001,-1.2873669511707,-0.10111888312421
0.35,-0.0791,0.15343116808001,-1.3542113783105,-0.10632973928659
0.36,-0.08136,0.15343116808001,-1.4086819848676,-0.11055133046472
0.37,-0.08362,0.15343116808001,-1.4565456485658,-0.11424154439093
0.38,-0.08588,0.15343116808001,-1.5609880372473,-0.12242638561809
0.39,-0.08814,0.15343116808001,-1.6625965952236,-0.13037912298522
0.4,-0.0904,0.15343116808001,-1.7493654079764,-0.13714548548682
0.41,-0.09266,0.15343116808001,-1.8212039547692,-0.14271870722733
0.42,-0.09492,0.15343116808001,-1.8838478988347,-0.1475535993299
0.43,-0.09718,0.15343116808001,-1.9708316756201,-0.15431424671796
0.44,-0.09944,0.15343116808001,-2.0639687186255,-0.16155654236333
0.45,-0.1017,0.15343116808001,-2.1402263310981,-0.16745142860695
0.46,-0.10396,0.15343116808001,-2.2071404323367,-0.17259659980499
0.47,-0.10622,0.15343116808001,-2.2936430500072,-0.17929189248171
0.48,-0.10848,0.15343116808001,-2.4203563741562,-0.18917753518773
0.49,-0.11074,0.15343116808001,-2.5361277482415,-0.19818428778929
0.5,-0.113,0.15343116808001,-2.6287293098163,-0.2053443253945
0.51,-0.11526,0.15343116808001,-2.710004644844,-0.21159581027413
0.52,-0.11752,0.15343116808001,-2.8119111151828,-0.21947552162014
0.53,-0.11978,0.15343116808001,-2.9288446366339,-0.22853949037972
0.54,-0.12204,0.15343116808001,-3.026637129834,-0.23607510213619
0.55,-0.1243,0.15343116808001,-3.1104491530853,-0.24249200751154
0.56,-0.12656,0.15343116808001,-3.1877898131209,-0.24838558371701
0.57,-0.12882,0.15343116808001,-3.3378560861974,-0.26005277546605
0.58,-0.13108,0.15343116808001,-3.4773670750745,-0.27087033195419
0.59,-0.13334,0.15343116808001,-3.5953624012768,-0.27997046012888
0.6,-0.1356,0.15343116808001,-3.6961867422532,-0.28769748243609
0.61,-0.13786,0.15343116808001,-3.8019561217708,-0.29580548570484
0.62,-0.14012,0.15343116808001,-3.9426921695719,-0.30667883972574
0.63,-0.14238,0.15343116808001,-4.0644119160657,-0.31603219624847
0.64,-0.14464,0.15343116808001,-4.1684641836749,-0.32397285593648
0.65,-0.1469,0.15343116808001,-4.2634762209336,-0.33118445658164
0.66,-0.14916,0.15343116808001,-4.4121100834132,-0.34264692491316
0.67,-0.15142,0.15343116808001,-4.5750040125915,-0.3552323887411
0.68,-0.15368,0.15343116808001,-4.7186569645429,-0.3662800658244
0.69,-0.15594,0.15343116808001,-4.8392580592686,-0.3754882017732
0.7,-0.1582,0.15343116808001,-4.9480978654938,-0.38375011985836
0.71,-0.16046,0.15343116808001,-5.1048095754142,-0.39579956295478
0.72,-0.16272,0.15343116808001,-5.2581839576674,-0.40757170220638
0.73,-0.16498,0.15343116808001,-5.396908986304,-0.4181678138173
0.74,-0.16724,0.15343116808001,-5.5203474785799,-0.42753798903734
0.75,-0.1695,0.15343116808001,-5.6293382024602,-0.43574962785646
0.76,-0.17176,0.15343116808001,-5.7303178556537,-0.44331188648836
0.77,-0.17402,0.15343116808001,-5.8253592761501,-0.4503896241689
0.78,-0.17628,0.15343116808001,-5.9162392157225,-0.45712411816717
0.79,-0.17854,0.15343116808001,-6.151088364582,-0.47530203797877
0.8,-0.1808,0.15343116808001,-6.3775438312094,-0.49279858227823
0.81,-0.18306,0.15343116808001,-6.5949770898711,-0.50956230823736
0.82,-0.18532,0.15343116808001,-6.7959178903531,-0.52500265801799
0.83,-0.18758,0.15343116808001,-6.9779351197368,-0.53892615315482
0.84,-0.18984,0.15343116808001,-7.1381880036213,-0.55110926410921
0.85,-0.1921,0.15343116808001,-7.2828970545387,-0.56204367823452
0.86,-0.19436,0.15343116808001,-7.4165763037206,-0.57208623909479
0.87,-0.19662,0.15343116808001,-7.5414932388576,-0.58141684670036
0.88,-0.19888,0.15343116808001,-7.6582587629283,-0.59008309945229
0.89,-0.20114,0.15343116808001,-7.8461426221743,-0.60437949138876
0.9,-0.2034,0.15343116808001,-8.0549418022961,-0.62032021352246
0.91,-0.20566,0.15343116808001,-8.2464411101946,-0.63487360669736
0.92,-0.20792,0.15343116808001,-8.4161512870218,-0.64768464990776
0.93,-0.21018,0.15343116808001,-8.5673487892879,-0.65901263177115
0.94,-0.21244,0.15343116808001,-8.7078388136908,-0.66947417730563
0.95,-0.2147,0.15343116808001,-8.8393536092251,-0.67920599290758
0.96,-0.21696,0.15343116808001,-8.96405482373,-0.68838026697761
0.97,-0.21922,0.15343116808001,-9.1266575698406,-0.70055281149808
0.98,-0.22148,0.15343116808001,-9.4026630157765,-0.72173169563822
0.99,-0.22374,0.15343116808001,-9.6675246665224,-0.74200810988659
1,-0.226,0.15343116808001,-9.9217775119013,-0.76142100287825
1.01,-0.22148,0.15343116808001,-8.9890871267535,-0.69001476473461
1.02,-0.21696,0.15343116808001,-8.0632833007371,-0.61895048130043
1.03,-0.21244,0.15343116808001,-7.2304509431616,-0.55529938677572
1.04,-0.20792,0.15343116808001,-6.4134275223925,-0.49275838427293
1.05,-0.2034,0.15343116808001,-5.6039458074739,-0.4306356143997
1.06,-0.19888,0.15343116808001,-4.8180714551408,-0.37025393819561
1.07,-0.19436,0.15343116808001,-4.0796983823151,-0.31356054187035
1.08,-0.18984,0.15343116808001,-3.3493468841243,-0.25734163392184
1.09,-0.18532,0.15343116808001,-2.6800123045573,-0.20591580539115
1.1,-0.1808,0.15343116808001,-2.0621061994295,-0.15851253648868
1.11,-0.17628,0.15343116808001,-1.4823274022665,-0.11403964577152
1.12,-0.17176,0.15343116808001,-0.94708626342347,-0.073002322397238
1.13,-0.16724,0.15343116808001,-0.49293594943295,-0.038261676498368
1.14,-0.16272,0.15343116808001,-0.13996868345541,-0.011384697488286
1.15,-0.1582,0.15343116808001,-1.0138370940433e-12,-0.00080870620489628
1.16,-0.15368,0.15343116808001,-7.9993507274439e-13,-0.00080870615697204
1.17,-0.14916,0.15343116808001,3.3175289492737e-12,-0.00080870610927672
1.18,-0.14464,0.15343116808001,3.6598317438289e-12,-0.00080870606158133
1.19,-0.14012,0.15343116808001,5.3073283479621e-12,-0.00080870601388608
1.2,-0.1356,0.15343116808001,9.6268545884593e-12,-0.00080870596619055
1.21,-0.13108,0.15343116808001,9.8293144321559e-12,-0.00080870591941792
1.22,-0.12656,0.15343116808001,1.0732808556019e-11,-0.00080870587172264
1.23,-0.12204,0.15343116808001,1.3602139103987e-11,-0.00080870582402724
1.24,-0.11752,0.15343116808001,1.5135948176679e-11,-0.00080870577857858
1.25,-0.113,0.15343116808001,1.7498871113829e-11,-0.00080870573088318
1.26,-0.10848,0.15343116808001,1.8664342783163e-11,-0.00080870568318784
1.27,-0.10396,0.15343116808001,2.0865571285379e-11,-0.00080870563641537
1.28,-0.09944,0.15343116808001,2.2855008693526e-11,-0.00080870558871987
1.29,-0.09492,0.15343116808001,2.3959099768819e-11,-0.00080870554102446
1.3,-0.0904,0.15343116808001,2.4630326743578e-11,-0.00080870549332925
1.31,-0.08588,0.15343116808001,2.8501695672338e-11,-0.00080870544563402
1.32,-0.08136,0.15343116808001,2.9250445472428e-11,-0.00080870539793872
1.33,-0.07684,0.15343116808001,2.9892226264112e-11,-0.00080870535290095
1.34,-0.07232,0.15343116808001,3.4151040554989e-11,-0.00080870530571634
1.35,-0.0678,0.15343116808001,3.48720143143e-11,-0.00080870525802111
1.36,-0.06328,0.15343116808001,3.4930236856959e-11,-0.00080870521032564
1.37,-0.05876,0.15343116808001,3.5388799496655e-11,-0.00080870516263036
1.38,-0.05424,0.15343116808001,3.9755426705874e-11,-0.00080870511493503
1.39,-0.04972,0.15343116808001,4.0751721690828e-11,-0.00080870506816249
1.4,-0.0452,0.15343116808001,4.1879004142817e-11,-0.00080870502046723
1.41,-0.04068,0.15343116808001,4.5510319558554e-11,-0.00080870497277191
1.42,-0.03616,0.15343116808001,4.6273899268235e-11,-0.0008087049268115
1.43,-0.03164,0.15343116808001,4.6775810973012e-11,-0.00080870487911623
1.44,-0.02712,0.15343116808001,4.7856278227409e-11,-0.00080870483193171
1.45,-0.0226,0.15343116808001,5.2005745762189e-11,-0.00080870478515904
1.46,-0.01808,0.15343116808001,5.2677181640684e-11,-0.00080870473746375
1.47,-0.01356,0.15343116808001,5.3291950706687e-11,-0.00080870468976846
1.48,-0.0090399999999995,0.15343116808001,5.7016223256011e-11,-0.0008087046420731
1.49,-0.0045199999999995,0.15343116808001,5.7616458109931e-11,-0.00080870459437765
1.5,0,0.15343116808001,5.8210032801384e-11,-0.00080870454668229
