disp_y,id,x,y,z
-0.0012928932510182,729,0,-1,6.1232339957368e-17
-0.046979580767824,502,0,-0.25,1.5308084989342e-17
0,1081,0,-2,1.2246467991474e-16
0.00085921161969402,1083,0,-1.75,1.0715659492539e-16
-0.045369008370851,497,0,-0.5,3.0616169978684e-17
-0.0026600292811651,731,0,-0.75,4.5924254968026e-17
0.0019491813101775,905,0,-1.5,9.1848509936051e-17
0.0027301416295151,907,0,-1.25,7.654042494671e-17
-0.16084004175266,495,0,0,0
-0.13234911092253,501,0.0625,6.6285952420307e-18,0.10825317547305
0.00083878747741478,1090,0.0625,-1.75,0.10825317547305
-0.0019556259917097,738,0.0625,-0.75,0.10825317547305
0,1087,0.0625,-2,0.10825317547305
-0.00091227916517612,735,0.0625,-1,0.10825317547305
0.0018885015174255,911,0.0625,-1.5,0.10825317547305
0.0026868727348206,914,0.0625,-1.25,0.10825317547305
-0.040538289200902,510,0.0625,-0.25,0.10825317547305
-0.042211527145997,506,0.0625,-0.5,0.10825317547305
0.00084451790636994,1088,0.125,-1.75,1.0715659492539e-16
0,1085,0.125,-2,1.2246467991474e-16
-0.0018281350214987,736,0.125,-0.75,4.5924254968026e-17
-0.11497847173696,499,0.125,0,0
-0.00092586087793647,733,0.125,-1,6.1232339957368e-17
0.0018583851356715,909,0.125,-1.5,9.1848509936051e-17
0.0027023887092489,912,0.125,-1.25,7.654042494671e-17
-0.041334835589555,504,0.125,-0.5,3.0616169978684e-17
-0.038982277330091,508,0.125,-0.25,1.5308084989342e-17
-0.030064919866647,503,0.125,-0.25,0.21650635094611
-0.00032921616152055,730,0.125,-1,0.21650635094611
0.0025684955961102,908,0.125,-1.25,0.21650635094611
-0.10534999558196,496,0.125,1.3257190484061e-17,0.21650635094611
0.0017135858042976,906,0.125,-1.5,0.21650635094611
0.00078599919182221,1084,0.125,-1.75,0.21650635094611
0,1082,0.125,-2,0.21650635094611
-0.03528431454649,498,0.125,-0.5,0.21650635094611
-0.00028943973089994,732,0.125,-0.75,0.21650635094611
-0.094560894233982,507,0.17187500000001,6.076212305195e-18,0.09923207751697
-0.00057282466851779,739,0.17187500000001,-1,0.09923207751697
0.0017686297546689,915,0.17187500000001,-1.5,0.09923207751697
-0.036913770347267,511,0.17187500000001,-0.5,0.09923207751697
0,1091,0.17187500000001,-2,0.09923207751697
-0.00083547571229343,740,0.17187500000001,-0.75,0.09923207751697
0.0026354730308228,916,0.17187500000001,-1.25,0.09923207751697
0.00081601538140525,1092,0.17187500000001,-1.75,0.09923207751697
-0.032297711492048,512,0.17187500000001,-0.25,0.09923207751697
0,1136,0.1875,-2,0.32475952641916
0.0022731510092845,962,0.1875,-1.25,0.32475952641916
-0.081336320922107,576,0.1875,1.9885785726092e-17,0.32475952641916
0.0015182108139811,960,0.1875,-1.5,0.32475952641916
-0.020960722596683,579,0.1875,-0.5,0.32475952641916
0.00070809085470263,1138,0.1875,-1.75,0.32475952641916
-0.019811429030342,582,0.1875,-0.25,0.32475952641916
0.0006986584538648,784,0.1875,-1,0.32475952641916
0.0015214608835172,786,0.1875,-0.75,0.32475952641916
0.00068128674175908,737,0.21875000000001,-0.75,0.19846415503394
0.00076332855213868,1089,0.21875000000001,-1.75,0.19846415503394
5.9667628286116e-05,734,0.21875000000001,-1,0.19846415503394
-0.028603319359577,505,0.21875000000001,-0.5,0.19846415503394
0.0016155910278348,910,0.21875000000001,-1.5,0.19846415503394
0.0024857389891211,913,0.21875000000001,-1.25,0.19846415503394
