disp_y,id,x,y,z
-0.008243931621719,78,0,-0.9,0
3.4931937105729e-05,40,0,-1.85,0
-0.0061614684427228,76,0,-0.95,0
2.3786331261407e-05,38,0,-1.9,0
-0.010769533889913,80,0,-0.85,0
-0.013795425615552,82,0,-0.8,0
1.2037141963392e-05,35,0,-1.95,0
0,34,0,-2,0
4.5099479259047e-05,42,0,-1.8,0
-0.15523563291862,112,0,-0.05,0
5.3816871792688e-05,44,0,-1.75,0
-0.017383526098429,84,0,-0.75,0
6.0462776583935e-05,46,0,-1.7,0
-0.16132674707204,114,0,0,0
6.4194172174002e-05,48,0,-1.65,0
-0.021599411691032,86,0,-0.7,0
6.3842499335673e-05,50,0,-1.6,0
-0.026511322284804,88,0,-0.65,0
5.7757294897955e-05,52,0,-1.55,0
-0.032187594604572,90,0,-0.6,0
4.3583547939059e-05,54,0,-1.5,0
-0.038694581046109,92,0,-0.55,0
1.7877444250116e-05,56,0,-1.45,0
-0.046093990092414,94,0,-0.5,0
-2.4264126167068e-05,58,0,-1.4,0
-0.054438708022779,96,0,-0.45,0
-9.0737244045296e-05,60,0,-1.35,0
-0.063774334940992,98,0,-0.4,0
-0.00019531836130336,62,0,-1.3,0
-0.074126913726969,100,0,-0.35,0
-0.00038129800763365,64,0,-1.25,0
-0.085512473534023,102,0,-0.3,0
-0.00073548568486083,66,0,-1.2,0
-0.097900891166531,104,0,-0.25,0
-0.0012887216009652,68,0,-1.15,0
-0.14044255955187,110,0,-0.1,0
-0.0020736478590273,70,0,-1.1,0
-0.11129549929717,106,0,-0.2,0
-0.0031218863013211,72,0,-1.05,0
-0.12547841204262,108,0,-0.15,0
-0.0044700305584347,74,0,-1,0
-0.003059716855207,73,0.05,-1.05,0
-0.001262641484877,69,0.05,-1.15,0
5.8071919572497e-05,47,0.05,-1.7,0
4.3577543526754e-05,43,0.05,-1.8,0
-0.14490765848739,113,0.05,-0.05,0
-0.12031881077856,109,0.05,-0.15,0
-0.0043833179218291,75,0.05,-1,0
3.3810695652596e-05,41,0.05,-1.85,0
-0.002031873971348,71,0.05,-1.1,0
-0.0060445379589203,77,0.05,-0.95,0
-0.0007205353110014,67,0.05,-1.2,0
2.3048668087811e-05,39,0.05,-1.9,0
0,37,0.05,-2,0
-0.0001982633812368,63,0.05,-1.3,0
-0.013537661337113,83,0.05,-0.8,0
-9.564184921741e-05,61,0.05,-1.35,0
-2.9325466059226e-05,59,0.05,-1.4,0
-0.045100985596769,95,0.05,-0.5,0
5.1872669588743e-05,45,0.05,-1.75,0
3.9269371874211e-05,55,0.05,-1.5,0
6.0491623862512e-05,51,0.05,-1.6,0
-0.13303328034848,111,0.05,-0.1,0
-0.00037616052273407,65,0.05,-1.25,0
-0.053213562584128,97,0.05,-0.45,0
1.31866659028e-05,57,0.05,-1.45,0
5.3915002000537e-05,53,0.05,-1.55,0
-0.15360123132023,115,0.05,0,0
-0.0080894812706336,79,0.05,-0.9,0
-0.031540786509636,91,0.05,-0.6,0
6.1332677432672e-05,49,0.05,-1.65,0
-0.062258617284388,99,0.05,-0.4,0
1.1671295619058e-05,36,0.05,-1.95,0
-0.094917159635509,105,0.05,-0.25,0
-0.10737323334042,107,0.05,-0.2,0
-0.02118573595182,87,0.05,-0.7,0
-0.010568781590859,81,0.05,-0.85,0
-0.072246839647311,101,0.05,-0.35,0
-0.037891875172327,93,0.05,-0.55,0
-0.017055717947423,85,0.05,-0.75,0
-0.025992595145115,89,0.05,-0.65,0
-0.083154165193337,103,0.05,-0.3,0
4.0091232491974e-05,120,0.1,-1.8,0
-0.016313132027268,141,0.1,-0.75,0
-0.07800545629571,150,0.1,-0.3,0
-0.088499697370168,151,0.1,-0.25,0
-0.0019371049198781,134,0.1,-1.1,0
-0.012953448265243,140,0.1,-0.8,0
-0.020249380337362,142,0.1,-0.7,0
2.5601907084965e-06,127,0.1,-1.45,0
-0.0003654660131253,131,0.1,-1.25,0
-0.0057796564013937,137,0.1,-0.95,0
-0.00068918379300175,132,0.1,-1.2,0
5.2845505990949e-05,124,0.1,-1.6,0
4.7421912952317e-05,121,0.1,-1.75,0
3.1241011390085e-05,119,0.1,-1.85,0
2.13575051821e-05,118,0.1,-1.9,0
0,117,0.1,-2,0
1.0832390088853e-05,116,0.1,-1.95,0
2.9480575235183e-05,126,0.1,-1.5,0
-0.024819674266236,143,0.1,-0.65,0
-0.030080153630493,144,0.1,-0.6,0
-0.036082085160623,145,0.1,-0.55,0
-0.042867955326538,146,0.1,-0.5,0
-0.058879944636358,148,0.1,-0.4,0
-0.068083498413196,149,0.1,-0.35,0
-0.099325543457211,152,0.1,-0.2,0
-0.00010641893449589,129,0.1,-1.35,0
-0.00020598268122448,130,0.1,-1.3,0
-0.0012043912768065,133,0.1,-1.15,0
-0.007739336624823,138,0.1,-0.9,0
4.5160139339928e-05,125,0.1,-1.55,0
5.2603197706649e-05,122,0.1,-1.7,0
-0.010113639819108,139,0.1,-0.85,0
-0.050464765733212,147,0.1,-0.45,0
-0.11004816098135,153,0.1,-0.15,0
-4.0356991135045e-05,128,0.1,-1.4,0
-0.13600099041419,156,0.1,0,0
-0.0029193982643098,135,0.1,-1.05,0
5.4793972226805e-05,123,0.1,-1.65,0
-0.1202378129145,154,0.1,-0.1,0
-0.0041872962081198,136,0.1,-1,0
-0.12875580102313,155,0.1,-0.05,0
-0.11172764454119,196,0.15,-0.05,0
-0.003885318022593,177,0.15,-1,0
-0.0011160745236266,174,0.15,-1.15,0
-0.00021711449707856,171,0.15,-1.3,0
-1.3924862658389e-05,168,0.15,-1.45,0
-0.023010741727736,184,0.15,-0.65,0
-0.027831838637133,185,0.15,-0.6,0
-0.088280137417867,193,0.15,-0.2,0
-0.061864891587259,190,0.15,-0.35,0
-0.070445044157114,191,0.15,-0.3,0
1.4192030094671e-05,167,0.15,-1.5,0
9.5063976224758e-06,157,0.15,-1.95,0
-0.0071976072672432,179,0.15,-0.9,0
-0.0053702324971296,178,0.15,-0.95,0
4.0404363593019e-05,162,0.15,-1.75,0
-0.096940183929734,194,0.15,-0.15,0
-0.10491559012014,195,0.15,-0.1,0
-0.0027041978075518,176,0.15,-1.05,0
-0.015164881314072,182,0.15,-0.75,0
-0.0017917912037347,175,0.15,-1.1,0
0,158,0.15,-2,0
3.458914879679e-05,161,0.15,-1.8,0
2.7182616095893e-05,160,0.15,-1.85,0
-0.00035599500945644,172,0.15,-1.25,0
1.8685227581335e-05,159,0.15,-1.9,0
4.3990707975133e-05,163,0.15,-1.7,0
4.4511093731838e-05,164,0.15,-1.65,0
4.0841519064746e-05,165,0.15,-1.6,0
-5.7195180442044e-05,169,0.15,-1.4,0
-0.079338333186125,192,0.15,-0.25,0
-0.11820045877828,197,0.15,0,0
-0.0094092253969024,180,0.15,-0.85,0
-0.018803062288568,183,0.15,-0.7,0
-0.039449752623926,187,0.15,-0.5,0
-0.046279133718306,188,0.15,-0.45,0
-0.01204946914914,181,0.15,-0.8,0
-0.0001219042284551,170,0.15,-1.35,0
-0.00064603410179175,173,0.15,-1.2,0
-0.033302827517739,186,0.15,-0.55,0
-0.053769168359706,189,0.15,-0.4,0
3.1445740552689e-05,166,0.15,-1.55,0
-0.082721415526497,235,0.2,-0.15,0
-0.02975881383861,227,0.2,-0.55,0
-0.01368662304872,223,0.2,-0.75,0
-0.0034987014533753,218,0.2,-1,0
-0.040994529360943,229,0.2,-0.45,0
-0.0085015503868953,221,0.2,-0.85,0
-0.054179626916892,231,0.2,-0.35,0
-0.0048442170966038,219,0.2,-0.95,0
1.3391072630292e-05,207,0.2,-1.55,0
-0.010884767826737,222,0.2,-0.8,0
-0.0024308389089075,217,0.2,-1.05,0
-0.020690156945862,225,0.2,-0.65,0
-0.00059749686418391,214,0.2,-1.2,0
-0.00035477145665136,213,0.2,-1.25,0
-0.00014167663356696,211,0.2,-1.35,0
-0.047376450315952,230,0.2,-0.4,0
-5.8789423058673e-06,208,0.2,-1.5,0
-0.068547870589996,233,0.2,-0.25,0
2.4999656774373e-05,206,0.2,-1.6,0
3.0911108685502e-05,205,0.2,-1.65,0
-0.095069390142244,237,0.2,-0.05,0
3.2578475788516e-05,204,0.2,-1.7,0
3.1090765358968e-05,203,0.2,-1.75,0
2.7277419609293e-05,202,0.2,-1.8,0
2.178402712811e-05,201,0.2,-1.85,0
1.5127975501253e-05,200,0.2,-1.9,0
0,199,0.2,-2,0
7.7405326665493e-06,198,0.2,-1.95,0
-0.10093592263933,238,0.2,0,0
-0.016943903640535,224,0.2,-0.7,0
-0.024954933186253,226,0.2,-0.6,0
-0.075758378739823,234,0.2,-0.2,0
-0.0892305754391,236,0.2,-0.1,0
-0.0065001981498027,220,0.2,-0.9,0
-0.0016092207273303,216,0.2,-1.1,0
-0.0010066294176051,215,0.2,-1.15,0
-0.035108439090931,228,0.2,-0.5,0
-7.9107573561928e-05,210,0.2,-1.4,0
-0.061294131730776,232,0.2,-0.3,0
-0.00022965265897078,212,0.2,-1.3,0
-3.5485686308383e-05,209,0.2,-1.45,0
-0.035025712137785,270,0.25,-0.45,0
-0.045682678928413,272,0.25,-0.35,0
-0.06276707635173,275,0.25,-0.2,0
-0.073776879698915,277,0.25,-0.1,0
-0.021655154770654,267,0.25,-0.6,0
-0.014799201076103,265,0.25,-0.7,0
-0.0074518033130074,262,0.25,-0.85,0
-0.0095376048526324,263,0.25,-0.8,0
-0.011978497439843,264,0.25,-0.75,0
-0.018020403145401,266,0.25,-0.65,0
-0.0056947764461424,261,0.25,-0.9,0
-0.0042387343006332,260,0.25,-0.95,0
-0.0030562403778186,259,0.25,-1,0
-0.0021208368132694,258,0.25,-1.05,0
-0.084239357200583,279,0.25,0,0
-0.0014069414019659,257,0.25,-1.1,0
-0.078846839307082,278,0.25,-0.05,0
-0.00088939086139947,256,0.25,-1.15,0
-0.057060252236799,274,0.25,-0.25,0
-0.051328635674471,273,0.25,-0.3,0
-0.00054874958389887,255,0.25,-1.2,0
-0.030175399036579,269,0.25,-0.5,0
-0.00036063997679607,254,0.25,-1.25,0
-0.00024874778799727,253,0.25,-1.3,0
-0.025709932227713,268,0.25,-0.55,0
5.6029525172255e-06,239,0.25,-1.95,0
0,240,0.25,-2,0
1.0824248015936e-05,241,0.25,-1.9,0
1.5258469538957e-05,242,0.25,-1.85,0
1.845058083021e-05,243,0.25,-1.8,0
1.9865664888901e-05,244,0.25,-1.75,0
1.8851548237125e-05,245,0.25,-1.7,0
1.4590922905786e-05,246,0.25,-1.65,0
6.0388200321614e-06,247,0.25,-1.6,0
-8.1601066804123e-06,248,0.25,-1.55,0
-2.9778615026451e-05,249,0.25,-1.5,0
-6.114743350896e-05,250,0.25,-1.45,0
-0.00010529972008653,251,0.25,-1.4,0
-0.00016616511700338,252,0.25,-1.35,0
-0.040218518274474,271,0.25,-0.4,0
-0.06835916369593,276,0.25,-0.15,0
-0.0080951403142888,304,0.3,-0.8,0
8.4588670810555e-06,284,0.3,-1.8,0
-8.9733630165145e-05,291,0.3,-1.45,0
-0.00013472564893971,292,0.3,-1.4,0
-0.0012024111205152,298,0.3,-1.1,0
-0.024997410004324,310,0.3,-0.5,0
-0.015178191426609,307,0.3,-0.65,0
-0.0063284612318227,303,0.3,-0.85,0
-0.010151510639934,305,0.3,-0.75,0
3.1752898733743e-06,280,0.3,-1.95,0
0,281,0.3,-2,0
7.8603439416904e-06,283,0.3,-1.85,0
7.1843733130821e-06,285,0.3,-1.75,0
3.3812549450777e-06,286,0.3,-1.7,0
-3.7504794626603e-06,287,0.3,-1.65,0
-3.223060738894e-05,289,0.3,-1.55,0
-5.6408127598648e-05,290,0.3,-1.5,0
-0.00019454915948313,293,0.3,-1.35,0
-0.00027353642619866,294,0.3,-1.3,0
-0.00051126927903033,296,0.3,-1.2,0
-0.00078049996898527,297,0.3,-1.15,0
-0.001799082181644,299,0.3,-1.05,0
-0.0025903243566498,300,0.3,-1,0
-0.058802387140213,318,0.3,-0.1,0
-0.012509627707131,306,0.3,-0.7,0
5.9396874248663e-06,282,0.3,-1.9,0
-0.00037636382594979,295,0.3,-1.25,0
-0.0035951580771605,301,0.3,-0.95,0
-0.02880507181947,311,0.3,-0.45,0
-0.0048348472412002,302,0.3,-0.9,0
-0.021436354989919,309,0.3,-0.55,0
-0.054338942232425,317,0.3,-0.15,0
-0.03281245507861,312,0.3,-0.4,0
-0.041227448681641,314,0.3,-0.3,0
-0.045549497085038,315,0.3,-0.25,0
-1.5204719032008e-05,288,0.3,-1.6,0
-0.068150490512849,320,0.3,0,0
-0.018157199006009,308,0.3,-0.6,0
-0.03697038535022,313,0.3,-0.35,0
-0.049923297788457,316,0.3,-0.2,0
-0.06320935420351,319,0.3,-0.05,0
5.4727338887708e-07,321,0.35,-1.95,0
-3.7837273835564e-05,329,0.35,-1.6,0
-6.458714011632e-06,326,0.35,-1.75,0
-0.034558944860054,356,0.35,-0.25,0
0,322,0.35,-2,0
-1.3186717505397e-07,324,0.35,-1.85,0
-2.3156983527667e-06,325,0.35,-1.8,0
-0.04098382766416,358,0.35,-0.15,0
-2.3362510909065e-05,328,0.35,-1.65,0
-5.7779535802478e-05,330,0.35,-1.55,0
-8.4580254752173e-05,331,0.35,-1.5,0
-0.00011993295598527,332,0.35,-1.45,0
-0.00016588760544357,333,0.35,-1.4,0
-0.00022491133025742,334,0.35,-1.35,0
-0.00029978513954671,335,0.35,-1.3,0
-0.0010146075312302,339,0.35,-1.1,0
-0.010214680549734,347,0.35,-0.7,0
-0.037671771981828,357,0.35,-0.2,0
-0.00050418441399595,337,0.35,-1.2,0
-0.0014912575368738,340,0.35,-1.05,0
-0.052736610954957,361,0.35,0,0
-0.0039740882096335,343,0.35,-0.9,0
-0.0029560106719078,342,0.35,-0.95,0
-0.0021327963241211,341,0.35,-1,0
-0.00039169454050888,336,0.35,-1.25,0
-0.048273835452227,360,0.35,-0.05,0
-0.04453380747294,359,0.35,-0.1,0
-0.031550230408874,355,0.35,-0.3,0
-1.3215296800443e-05,327,0.35,-1.7,0
-0.017209130317691,350,0.35,-0.55,0
6.5608250524152e-07,323,0.35,-1.9,0
-0.012338188865589,348,0.35,-0.65,0
-0.0083154699036289,346,0.35,-0.75,0
-0.006644922251079,345,0.35,-0.8,0
-0.0052005122335747,344,0.35,-0.85,0
-0.00069104875078414,338,0.35,-1.15,0
-0.02857967069809,354,0.35,-0.35,0
-0.022727351362281,352,0.35,-0.45,0
-0.019904819256566,351,0.35,-0.5,0
-0.014676556584206,349,0.35,-0.6,0
-0.025632799854779,353,0.35,-0.4,0
-0.00032633151901832,376,0.4,-1.3,0
-0.022794602410543,396,0.4,-0.3,0
-0.019068578083858,394,0.4,-0.4,0
-0.015181533681135,392,0.4,-0.5,0
-0.01140456627643,390,0.4,-0.6,0
-0.00015039536331574,373,0.4,-1.45,0
-0.00086420169039946,380,0.4,-1.1,0
-0.00063424696326379,379,0.4,-1.15,0
