Nodes,1124,,,,Nodes,3907,,,,Nodes,389,,
Elements,336,,,,Elements,1231,,,,Elements,109,,
Average min length,0.052072,,,,Average min length,0.027845,,,,Average min length,0.084797,,
Average max length,0.062288,,,,Average max length,0.031714,,,,Average max length,0.11356,Final W,2.48E+01
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2.47E+01,8.00E-02,8.88E+02,,,2.45E+01,8.00E-02,8.81E+02,,,2.47E+01,8.00E-02,8.85E+02,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s)
22.471,7.68E-02,846.53,9.6,,22.353,7.68E-02,839.94,9.6,,22.533,7.68E-02,845.57,9.6
23.551,7.84E-02,867.18,9.8,,23.427,7.84E-02,860.46,9.8,,23.607,7.84E-02,865.25,9.8
24.654,8.00E-02,887.82,10,,24.526,8.00E-02,880.69,10,,24.704,8.00E-02,884.84,10
24.654,8.00E-02,887.82,11,,24.526,8.00E-02,880.69,11,,24.704,8.00E-02,884.85,11
24.654,8.00E-02,887.81,12,,24.526,8.00E-02,880.7,12,,24.704,8.00E-02,884.85,12
24.654,8.00E-02,887.82,13.5,,24.526,8.00E-02,880.68,13.5,,24.704,8.00E-02,884.85,13.5
24.654,8.00E-02,887.81,15,,24.526,8.00E-02,880.69,15,,24.704,8.00E-02,884.85,15
17.341,6.40E-02,480.8,17,,17.228,6.40E-02,473.5,17,,17.381,6.40E-02,482.29,17
14.498,4.80E-02,93.113,19,,14.445,4.80E-02,90.004,19,,14.537,4.80E-02,90.344,19
14.431,4.19E-02,8.321,22,,14.384,4.19E-02,8.6117,20.05,,14.472,4.20E-02,8.6487,22
14.431,4.19E-02,8.3218,25,,14.384,4.19E-02,8.6118,21.1,,14.472,4.20E-02,8.6492,25
,,,,,14.384,4.19E-02,8.6117,22.675,,,,,
,,,,,14.384,4.19E-02,8.6117,25,,,,,
