763,0.213,10200,,,738,0.212,9660,,,720,0.209,9710,,,721,0.205,9720,,,721.3,0.20334,9715.4,,,820.95,0.21245,10655,,,930.04,0.22156,11653,,,1049.1,0.23065,12707,,,1178.8,0.23972,13823,,,1319.7,0.24879,15000,,,1472.3,0.25781,16243,,,1637.3,0.26689,17546,,,1724.5,0.27137,18211,,,1553.2,0.26236,16889,,,0,0,0,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s)
17.85,0.0553,833.81,3.9935,,17.562,0.0589,788.35,3.9935,,16.426,0.0533,740.74,3.9935,,15.052,0.0494,731.37,3.9935,,14.9,0.0488,724.19,3.9935,,17.511,0.052042,801.92,3.9935,,20.396,0.055229,883.73,3.9935,,23.575,5.84E-02,970.38,3.9935,,27.049,6.16E-02,1060.5,3.9935,,30.844,6.48E-02,1154.4,3.9935,,34.973,6.79E-02,1252.6,3.9935,,39.437,7.11E-02,1354.4,3.9935,,41.8,7.27E-02,1406.8,3.9935,,37.16,6.95E-02,1303.2,3.9935,,,,,
20.05,0.0584,893.98,4.1076,,19.724,0.0619,844.38,4.1076,,18.371,0.0563,791.03,4.1076,,16.983,0.0518,787.86,4.1076,,16.825,0.0512,781.79,4.1076,,19.722,0.05451,864.83,4.1076,,22.927,0.057785,953.26,4.1076,,26.446,6.10E-02,1045.3,4.1076,,30.296,6.43E-02,1141.1,4.1076,,34.502,6.76E-02,1241.6,4.1076,,39.057,7.09E-02,1346.1,4.1076,,43.993,7.42E-02,1454.5,4.1076,,46.604,7.58E-02,1509.9,4.1076,,41.474,7.25E-02,1399.6,4.1076,,,,,
22.485,0.0614,957.91,4.2217,,21.981,0.0646,900.94,4.2217,,20.454,0.0592,846.69,4.2217,,19.058,0.0542,845.5,4.2217,,18.899,0.0536,841.57,4.2217,,22.108,0.056975,931.16,4.2217,,25.648,0.060336,1024.8,4.2217,,29.538,6.37E-02,1122.3,4.2217,,33.791,6.71E-02,1224.9,4.2217,,38.422,7.04E-02,1331.9,4.2217,,43.443,7.38E-02,1442.7,4.2217,,48.881,7.72E-02,1557.4,4.2217,,51.752,7.89E-02,1615.9,4.2217,,46.108,7.55E-02,1499.6,4.2217,,,,,
25.198,0.0645,1028.5,4.3358,,24.372,0.0667,960.89,4.3358,,22.685,0.0621,901.07,4.3358,,21.285,0.0567,905.74,4.3358,,21.131,0.056,904.26,4.3358,,24.67,0.059437,999.21,4.3358,,28.571,0.062887,1098.4,4.3358,,32.857,6.63E-02,1202.7,4.3358,,37.532,6.98E-02,1311.8,4.3358,,42.621,7.33E-02,1424.7,4.3358,,48.138,7.67E-02,1542.1,4.3358,,54.101,8.02E-02,1663.6,4.3358,,57.254,8.19E-02,1726.8,4.3358,,51.066,7.85E-02,1601.9,4.3358,,,,,
27.78,0.0665,1111.7,4.4499,,26.939,0.0695,1027.2,4.4499,,25.056,0.0648,956.7,4.4499,,23.67,0.0591,966.82,4.4499,,23.528,0.0584,969.27,4.4499,,27.418,0.061898,1069.8,4.4499,,31.705,0.065446,1175.3,4.4499,,36.407,6.90E-02,1285.9,4.4499,,41.532,7.25E-02,1401,4.4499,,47.11,7.61E-02,1520.6,4.4499,,53.153,7.96E-02,1644.4,4.4499,,59.68,8.32E-02,1774.3,4.4499,,63.127,8.50E-02,1840.3,4.4499,,56.352,8.14E-02,1708.8,4.4499,,,,,
30.84,0.0694,1182.1,4.564,,29.676,0.0722,1094.7,4.564,,27.582,0.0671,1024,4.564,,26.213,0.0615,1030.1,4.564,,26.092,0.0607,1036.4,4.564,,30.355,0.064359,1142.6,4.564,,35.054,0.068005,1254.6,4.564,,40.195,7.16E-02,1371.4,4.564,,45.8,7.53E-02,1493.2,4.564,,51.899,7.89E-02,1618.9,4.564,,58.492,8.26E-02,1751.3,4.564,,65.619,8.62E-02,1888,4.564,,69.388,8.81E-02,1959.4,4.564,,61.987,8.44E-02,1818.7,4.564,,,,,
33.933,0.0724,1246.1,4.6781,,32.711,0.0749,1165.6,4.6781,,30.292,0.0694,1097.9,4.6781,,28.928,0.0639,1098.8,4.6781,,28.83,0.0631,1104.8,4.6781,,33.494,0.066829,1218,4.6781,,38.62,0.070561,1336.4,4.6781,,44.232,7.43E-02,1459.8,4.6781,,50.348,7.80E-02,1587.5,4.6781,,56.988,8.18E-02,1721.5,4.6781,,64.172,8.55E-02,1860.4,4.6781,,71.943,8.93E-02,2006.8,4.6781,,76.046,9.11E-02,2081.2,4.6781,,67.983,8.74E-02,1933,4.6781,,,,,
37.246,0.0755,1310.6,4.7922,,35.683,0.0766,1242.4,4.7922,,33.185,0.0716,1170.1,4.7922,,31.83,0.0662,1171.5,4.7922,,31.751,0.0655,1176.5,4.7922,,36.834,0.069297,1295.9,4.7922,,42.414,0.073118,1420.4,4.7922,,48.526,7.69E-02,1550.2,4.7922,,55.172,8.08E-02,1685.2,4.7922,,62.394,8.46E-02,1826.4,4.7922,,70.212,8.84E-02,1974.8,4.7922,,78.651,9.23E-02,2128.3,4.7922,,83.111,9.42E-02,2208.2,4.7922,,74.352,9.04E-02,2050.7,4.7922,,,,,
40.731,0.0787,1374,4.9063,,38.928,0.0792,1310.3,4.9063,,36.256,0.0739,1241,4.9063,,34.921,0.0685,1246.9,4.9063,,34.857,0.0679,1250,4.9063,,40.38,0.071762,1375.6,4.9063,,46.446,0.075681,1506.8,4.9063,,53.081,7.96E-02,1643.1,4.9063,,60.294,8.35E-02,1786.3,4.9063,,68.131,8.75E-02,1935.8,4.9063,,76.613,9.14E-02,2091.5,4.9063,,85.763,9.53E-02,2254.8,4.9063,,90.601,9.73E-02,2338.7,4.9063,,81.101,9.33E-02,2172.4,4.9063,,,,,
44.216,0.0818,1433.3,5.0204,,42.433,0.0819,1382.7,5.0204,,39.503,0.0762,1310.8,5.0204,,38.21,0.0708,1322,5.0204,,38.15,0.0702,1325.9,5.0204,,44.143,0.07423,1458,5.0204,,50.722,0.078247,1595.2,5.0204,,57.902,8.23E-02,1739.8,5.0204,,65.716,8.63E-02,1890,5.0204,,74.208,9.03E-02,2048.1,5.0204,,83.385,9.43E-02,2213.1,5.0204,,93.29,9.83E-02,2384.6,5.0204,,98.523,0.10035,2472.6,5.0204,,88.247,9.63E-02,2298.1,5.0204,,,,,
47.96,0.0846,1507.5,5.1345,,46.15,0.0843,1457.1,5.1345,,42.925,0.0784,1379.4,5.1345,,41.694,0.0731,1399.1,5.1345,,41.64,0.0726,1403.5,5.1345,,48.128,0.076704,1542.1,5.1345,,55.237,0.080807,1686.6,5.1345,,63.004,8.49E-02,1838.1,5.1345,,71.457,8.90E-02,1998,5.1345,,80.63,9.31E-02,2164.1,5.1345,,90.544,9.72E-02,2337.8,5.1345,,101.24,0.10137,2517.9,5.1345,,106.9,0.10343,2610.9,5.1345,,95.793,9.93E-02,2426.9,5.1345,,,,,
51.914,0.0872,1590.4,5.2486,,49.948,0.0868,1544.4,5.2486,,46.519,0.0807,1447.2,5.2486,,45.382,0.0755,1480.3,5.2486,,45.333,0.075,1483.5,5.2486,,52.338,0.079175,1628.1,5.2486,,60.014,0.083371,1781,5.2486,,68.394,8.76E-02,1940.8,5.2486,,77.511,9.18E-02,2107.9,5.2486,,87.41,9.60E-02,2283.7,5.2486,,98.104,0.10017,2465.7,5.2486,,109.64,0.1044,2655.5,5.2486,,115.73,0.10651,2753.4,5.2486,,103.76,0.10228,2559.6,5.2486,,,,,
56.184,0.0899,1675.3,5.3627,,53.976,0.0891,1639,5.3627,,50.326,0.0831,1518,5.3627,,49.275,0.0779,1562.8,5.3627,,49.234,0.0774,1565,5.3627,,56.781,0.081646,1717.6,5.3627,,65.05,0.085937,1877.4,5.3627,,74.087,9.02E-02,2046,5.3627,,83.905,9.45E-02,2222.3,5.3627,,94.556,9.88E-02,2406.1,5.3627,,106.07,0.10311,2597.5,5.3627,,118.49,0.10743,2797.3,5.3627,,125.04,0.10957,2900,5.3627,,112.17,0.10527,2696.5,5.3627,,,,,
60.683,0.0923,1768.1,5.4768,,58.355,0.0914,1742.6,5.4768,,54.355,0.0855,1598.9,5.4768,,53.387,0.0803,1649.3,5.4768,,53.345,0.0797,1648.5,5.4768,,61.463,0.084118,1808.8,5.4768,,70.365,0.088506,1977.9,5.4768,,80.078,9.29E-02,2154.2,5.4768,,90.635,9.73E-02,2339.4,5.4768,,102.09,0.10167,2532,5.4768,,114.46,0.10605,2733.3,5.4768,,127.8,0.11045,2942.6,5.4768,,134.83,0.11264,3048.4,5.4768,,121.01,0.10825,2837.3,5.4768,,,,,
65.486,0.0949,1859.6,5.5909,,63.02,0.0936,1847.2,5.5909,,58.597,0.0879,1687.2,5.5909,,57.717,0.0827,1735,5.5909,,57.67,0.0821,1735.3,5.5909,,66.392,0.086593,1903,5.5909,,75.956,0.091075,2079.8,5.5909,,86.383,9.55E-02,2265.9,5.5909,,97.715,0.10002,2459.3,5.5909,,110.01,0.10452,2661.5,5.5909,,123.28,0.10899,2872.8,5.5909,,137.59,0.11347,3089.6,5.5909,,145.13,0.1157,3201.8,5.5909,,130.3,0.11123,2980.6,5.5909,,,,,
70.471,0.0973,1951.8,5.705,,67.891,0.0959,1948.5,5.705,,63.058,0.0904,1773.8,5.705,,62.262,0.0851,1821.7,5.705,,62.222,0.0845,1823.4,5.705,,71.587,0.089075,2000.5,5.705,,81.829,0.093641,2185.6,5.705,,93.004,9.82E-02,2379.9,5.705,,105.16,0.10278,2582.6,5.705,,118.33,0.10737,2794.8,5.705,,132.54,0.11191,3014.3,5.705,,147.86,0.11649,3242.1,5.705,,155.95,0.11877,3361.3,5.705,,140.06,0.1142,3126.7,5.705,,,,,
75.723,0.0997,2047.4,5.8191,,73.079,0.0982,2054.1,5.8191,,67.729,0.0928,1864.2,5.8191,,67.035,0.0875,1912.1,5.8191,,67.006,0.0869,1914.6,5.8191,,77.029,0.091548,2099.3,5.8191,,88.004,0.096211,2294.1,5.8191,,99.964,0.10087,2496.8,5.8191,,112.97,0.10554,2709.5,5.8191,,127.06,0.1102,2931.3,5.8191,,142.26,0.11484,3159.5,5.8191,,158.65,0.11951,3400.8,5.8191,,167.3,0.12184,3525.2,5.8191,,150.3,0.11718,3278.1,5.8191,,,,,
81.193,0.10219,2141.9,5.9332,,78.543,0.10041,2154.9,5.9332,,72.64,0.0952,1961.9,5.9332,,72.05,0.0899,2007.7,5.9332,,72.029,0.0893,2008.7,5.9332,,82.744,0.094026,2201.9,5.9332,,94.471,0.098777,2404.9,5.9332,,107.26,0.10353,2617,5.9332,,121.15,0.10829,2839.7,5.9332,,136.2,0.11304,3068.9,5.9332,,152.44,0.11777,3309.7,5.9332,,169.95,0.12253,3562.7,5.9332,,179.18,0.1249,3692.1,5.9332,,161.04,0.12015,3435.4,5.9332,,,,,
86.86,0.10469,2237.1,6.0473,,84.121,0.10277,2252.7,6.0473,,77.81,0.0976,2066.3,6.0473,,77.307,0.0923,2104.5,6.0473,,77.287,0.0917,2104,6.0473,,88.736,0.096503,2306.9,6.0473,,101.25,0.10135,2518.3,6.0473,,114.91,0.1062,2740.5,6.0473,,129.72,0.11104,2972.1,6.0473,,145.77,0.11588,3211.4,6.0473,,163.11,0.1207,3465.2,6.0473,,181.78,0.12555,3728.5,6.0473,,191.64,0.12797,3864.6,6.0473,,172.27,0.12312,3595.4,6.0473,,,,,
92.685,0.10624,2352.4,6.1614,,90.127,0.10503,2359.5,6.1614,,83.25,0.1,2171.1,6.1614,,82.82,0.0948,2204.9,6.1614,,82.796,0.094,2202.9,6.1614,,95.001,0.098977,2413.8,6.1614,,108.35,0.10392,2634.9,6.1614,,122.91,0.10886,2867.1,6.1614,,138.69,0.11378,3106.4,6.1614,,155.79,0.11871,3359.1,6.1614,,174.26,0.12363,3623.4,6.1614,,194.17,0.12857,3899,6.1614,,204.66,0.13104,4041.2,6.1614,,184.02,0.1261,3759.8,6.1614,,,,,
98.59,0.10818,2460.7,6.2755,,96.558,0.10737,2466.7,6.2755,,88.954,0.1025,2275,6.2755,,88.583,0.0972,2305.7,6.2755,,88.569,0.0964,2304,6.2755,,101.56,0.10146,2523.5,6.2755,,115.78,0.1065,2754.5,6.2755,,131.27,0.11151,2995.2,6.2755,,148.07,0.11653,3245.3,6.2755,,166.28,0.12155,3510.8,6.2755,,185.92,0.12655,3786.1,6.2755,,207.09,0.13159,4074,6.2755,,218.26,0.1341,4222.8,6.2755,,196.32,0.12907,3928.2,6.2755,,,,,
105.01,0.11063,2568.6,6.3896,,102.93,0.10973,2568.8,6.3896,,94.928,0.10493,2383.3,6.3896,,94.618,0.0996,2410.3,6.3896,,94.589,0.0988,2406.9,6.3896,,108.42,0.10394,2636,6.3896,,123.53,0.10906,2877,6.3896,,140,0.11417,3125.9,6.3896,,157.86,0.11927,3389.4,6.3896,,177.22,0.12439,3664.6,6.3896,,198.1,0.12949,3952.5,6.3896,,220.6,0.13461,4253.7,6.3896,,232.48,0.13717,4408.3,6.3896,,209.15,0.13205,4101.6,6.3896,,,,,
111.75,0.11305,2681.7,6.5037,,109.55,0.11026,2680.2,6.5037,,101.17,0.10732,2491.2,6.5037,,100.91,0.10205,2517.1,6.5037,,100.88,0.1012,2512.3,6.5037,,115.58,0.10642,2751.3,6.5037,,131.63,0.11163,3000.9,6.5037,,149.11,0.11682,3260.7,6.5037,,168.09,0.12202,3536.6,6.5037,,188.64,0.12723,3823.6,6.5037,,210.81,0.13242,4123.9,6.5037,,234.71,0.13764,4437.1,6.5037,,247.32,0.14023,4599.8,6.5037,,222.54,0.13503,4279.2,6.5037,,,,,
118.84,0.11545,2794.2,6.6178,,116.65,0.11263,2789.2,6.6178,,107.71,0.10968,2604.1,6.6178,,107.49,0.10447,2625.2,6.6178,,107.45,0.10359,2620.3,6.6178,,123.04,0.1089,2869.4,6.6178,,140.07,0.11419,3127.1,6.6178,,158.62,0.11948,3400.5,6.6178,,178.74,0.12477,3686.1,6.6178,,200.55,0.13007,3985.7,6.6178,,224.07,0.13535,4299.2,6.6178,,249.41,0.14065,4626.5,6.6178,,262.78,0.14329,4794.4,6.6178,,236.5,0.138,4460.5,6.6178,,,,,
126.1,0.1176,2908.6,6.7319,,123.99,0.11499,2900.3,6.7319,,114.53,0.11198,2721,6.7319,,114.34,0.10687,2735.1,6.7319,,114.3,0.10599,2731,6.7319,,130.82,0.11137,2988.8,6.7319,,148.87,0.11676,3257.2,6.7319,,168.53,0.12213,3542.8,6.7319,,189.85,0.12752,3840.3,6.7319,,212.95,0.13291,4152.4,6.7319,,237.87,0.13828,4478.2,6.7319,,264.73,0.14366,4818.6,6.7319,,278.89,0.14635,4993.3,6.7319,,251.05,0.14097,4647.3,6.7319,,,,,
133.67,0.12003,3021,6.846,,131.62,0.11743,3014.1,6.846,,121.65,0.11427,2835.8,6.846,,121.48,0.10928,2848,6.846,,121.44,0.10837,2844.3,6.846,,138.93,0.11384,3110,6.846,,158.03,0.11932,3392,6.846,,178.84,0.12479,3687.5,6.846,,201.42,0.13027,3997.7,6.846,,225.87,0.13575,4322.7,6.846,,252.26,0.1412,4662.5,6.846,,280.68,0.14668,5015.3,6.846,,295.66,0.1494,5197.8,6.846,,266.19,0.14394,4836.9,6.846,,,,,
141.61,0.12243,3140.6,6.9601,,139.77,0.11976,3130.1,6.9601,,129.05,0.11657,2948.5,6.9601,,128.9,0.11168,2961.9,6.9601,,128.86,0.11075,2959.1,6.9601,,147.36,0.11632,3235,6.9601,,167.58,0.12188,3529.4,6.9601,,189.58,0.12745,3836.5,6.9601,,213.45,0.13301,4159.1,6.9601,,239.31,0.13858,4496.9,6.9601,,267.21,0.14412,4849.4,6.9601,,297.26,0.14968,5217.3,6.9601,,313.12,0.15246,5408.2,6.9601,,281.96,0.1469,5031.1,6.9601,,,,,
149.81,0.12476,3263,7.0742,,147.89,0.12208,3237.5,7.0742,,136.74,0.11882,3061.1,7.0742,,136.61,0.11409,3078,7.0742,,136.58,0.11313,3074.8,7.0742,,156.13,0.11879,3364.3,7.0742,,177.48,0.12444,3668.7,7.0742,,200.74,0.1301,3988.5,7.0742,,225.97,0.13576,4324.2,7.0742,,253.29,0.14141,4675.6,7.0742,,282.77,0.14704,5041,7.0742,,314.52,0.1527,5424.9,7.0742,,331.28,0.15551,5623.4,7.0742,,298.34,0.14987,5230.5,7.0742,,,,,
158.33,0.12723,3385.9,7.1883,,156.53,0.12446,3354.1,7.1883,,144.73,0.12098,3181.6,7.1883,,144.64,0.11648,3197.2,7.1883,,144.59,0.11551,3194.3,7.1883,,165.25,0.12126,3496.3,7.1883,,187.8,0.12701,3812.2,7.1883,,212.34,0.13276,4144.4,7.1883,,238.97,0.1385,4492.7,7.1883,,267.82,0.14424,4856.8,7.1883,,298.92,0.14996,5237.5,7.1883,,332.45,0.1557,5637.2,7.1883,,350.15,0.15857,5843.6,7.1883,,315.38,0.15283,5435.2,7.1883,,,,,
167.12,0.12966,3515.4,7.3024,,165.09,0.12702,3464.5,7.3024,,153.03,0.12315,3305.9,7.3024,,152.97,0.11886,3320.1,7.3024,,152.94,0.1179,3317.3,7.3024,,174.72,0.12373,3630.1,7.3024,,198.5,0.12958,3958.2,7.3024,,224.39,0.13542,4303.7,7.3024,,252.48,0.14124,4665.6,7.3024,,282.9,0.14707,5042.7,7.3024,,315.71,0.15288,5439.3,7.3024,,351.08,0.15871,5854.4,7.3024,,369.74,0.16161,6067.1,7.3024,,333.07,0.1558,5644.5,7.3024,,,,,
176.35,0.13218,3645.9,7.4165,,174.28,0.1293,3595.1,7.4165,,161.67,0.12529,3435.4,7.4165,,161.61,0.12125,3442.5,7.4165,,161.59,0.12028,3443.7,7.4165,,184.54,0.1262,3767.3,7.4165,,209.61,0.13214,4108.1,7.4165,,236.9,0.13807,4465.7,7.4165,,266.51,0.14398,4840.9,7.4165,,298.55,0.1499,5233,7.4165,,333.13,0.1558,5645.4,7.4165,,370.42,0.16172,6074.8,7.4165,,390.09,0.16466,6298.1,7.4165,,351.44,0.15876,5858.6,7.4165,,,,,
185.88,0.13457,3778.2,7.5306,,183.59,0.13173,3722.6,7.5306,,170.63,0.12746,3567,7.5306,,170.57,0.12364,3567.4,7.5306,,170.57,0.12266,3571.8,7.5306,,194.75,0.12868,3907.3,7.5306,,221.14,0.13471,4261,7.5306,,249.87,0.14072,4632.6,7.5306,,281.04,0.14672,5020,7.5306,,314.79,0.15273,5428.3,7.5306,,351.23,0.15872,5856.2,7.5306,,390.48,0.16472,6302.5,7.5306,,411.19,0.1677,6535.2,7.5306,,370.49,0.16172,6075.7,7.5306,,,,,
195.68,0.13703,3909.9,7.6447,,193.33,0.13427,3860.4,7.6447,,179.94,0.12968,3701,7.6447,,179.86,0.12602,3698.3,7.6447,,179.88,0.12504,3702.2,7.6447,,205.31,0.13115,4050.4,7.6447,,233.09,0.13727,4416.5,7.6447,,263.32,0.14337,4801.5,7.6447,,296.11,0.14946,5203.6,7.6447,,331.63,0.15555,5627.7,7.6447,,369.98,0.16163,6069.8,7.6447,,411.27,0.16771,6536.2,7.6447,,433.11,0.17075,6777,7.6447,,390.24,0.16467,6299.9,7.6447,,,,,
205.96,0.13946,4047.4,7.7588,,203.08,0.13584,3988.6,7.7588,,189.57,0.13191,3833.7,7.7588,,189.5,0.12841,3835,7.7588,,189.53,0.12742,3836,7.7588,,216.27,0.13363,4196.7,7.7588,,245.47,0.13983,4576.6,7.7588,,277.26,0.14601,4973.4,7.7588,,311.74,0.1522,5392,7.7588,,349.09,0.15838,5831.5,7.7588,,389.4,0.16454,6290.5,7.7588,,432.86,0.17071,6774.4,7.7588,,455.81,0.17379,7023.9,7.7588,,410.71,0.16762,6530,7.7588,,,,,
216.53,0.1418,4181.1,7.8729,,213.37,0.13825,4116.2,7.8729,,199.55,0.13413,3966.8,7.8729,,199.5,0.1308,3974.1,7.8729,,199.52,0.12981,3972.1,7.8729,,227.62,0.1361,4345.6,7.8729,,258.3,0.14239,4738.8,7.8729,,291.68,0.14866,5149.8,7.8729,,327.93,0.15493,5584.3,7.8729,,367.17,0.16121,6038,7.8729,,409.52,0.16745,6516.7,7.8729,,455.21,0.17371,7017.5,7.8729,,479.36,0.17684,7276.7,7.8729,,431.95,0.17058,6764.4,7.8729,,,,,
227.53,0.14332,4318.4,7.987,,224.19,0.14067,4254.4,7.987,,209.87,0.13636,4103.2,7.987,,209.86,0.13318,4114.5,7.987,,209.86,0.13219,4111.5,7.987,,239.36,0.13857,4497.8,7.987,,271.57,0.14494,4903.4,7.987,,306.62,0.1513,5330.5,7.987,,344.68,0.15767,5780.4,7.987,,385.88,0.16403,6250.8,7.987,,430.38,0.17035,6747.3,7.987,,478.38,0.17671,7266.3,7.987,,503.72,0.17988,7534.4,7.987,,453.93,0.17353,7003.6,7.987,,,,,
238.77,0.14577,4460.1,8.1011,,235.32,0.143,4388.9,8.1011,,220.54,0.1386,4239.8,8.1011,,220.57,0.13555,4256.5,8.1011,,220.56,0.13457,4253.5,8.1011,,251.51,0.14104,4653.4,8.1011,,285.31,0.1475,5072.3,8.1011,,322.09,0.15395,5515.2,8.1011,,362.03,0.16041,5979.9,8.1011,,405.23,0.16684,6468.8,8.1011,,451.96,0.17326,6982.3,8.1011,,502.35,0.17971,7519.9,8.1011,,528.94,0.18294,7796.6,8.1011,,476.68,0.17648,7248.3,8.1011,,,,,
250.28,0.14821,4604.1,8.2152,,246.73,0.1454,4524.7,8.2152,,231.57,0.14094,4377.6,8.2152,,231.66,0.13793,4400.2,8.2152,,231.63,0.13695,4397.7,8.2152,,264.08,0.14351,4811.1,8.2152,,299.51,0.15006,5244.9,8.2152,,338.08,0.1566,5703.5,8.2152,,379.96,0.16314,6183.6,8.2152,,425.28,0.16966,6691.4,8.2152,,474.3,0.17617,7222.8,8.2152,,527.14,0.18272,7778,8.2152,,555.05,0.18599,8066.3,8.2152,,500.23,0.17944,7497.8,8.2152,,,,,
262.26,0.15065,4759.5,8.3293,,258.55,0.14769,4662.6,8.3293,,242.94,0.14326,4520.7,8.3293,,243.1,0.14031,4544.6,8.3293,,243.06,0.13933,4545.7,8.3293,,277.07,0.14597,4971.2,8.3293,,314.19,0.15261,5421.4,8.3293,,354.61,0.15924,5895.4,8.3293,,398.48,0.16586,6392.9,8.3293,,446.02,0.17247,6917.9,8.3293,,497.4,0.17908,7468.1,8.3293,,552.79,0.18573,8043.1,8.3293,,582.04,0.18904,8342.6,8.3293,,524.57,0.18241,7751.4,8.3293,,,,,
274.73,0.15309,4917,8.4434,,270.82,0.15012,4810.4,8.4434,,254.71,0.14561,4675.8,8.4434,,254.92,0.1427,4694.7,8.4434,,254.89,0.14171,4696.1,8.4434,,290.49,0.14844,5135.5,8.4434,,329.36,0.15516,5601.3,8.4434,,371.7,0.16189,6089.6,8.4434,,417.64,0.16859,6607.3,8.4434,,467.45,0.17529,7149.5,8.4434,,521.26,0.182,7717.1,8.4434,,579.3,0.18874,8314.8,8.4434,,609.96,0.1921,8623.4,8.4434,,549.73,0.18537,8011.8,8.4434,,,,,
287.44,0.15536,5078,8.5575,,283.2,0.15253,4954.3,8.5575,,266.89,0.14795,4838.6,8.5575,,267.12,0.14509,4845.8,8.5575,,267.08,0.14408,4848.3,8.5575,,304.34,0.1509,5303.2,8.5575,,345.03,0.15772,5784.5,8.5575,,389.33,0.16452,6289.9,8.5575,,437.44,0.17131,6824.5,8.5575,,489.58,0.17811,7385.6,8.5575,,545.92,0.18492,7972.4,8.5575,,606.7,0.19175,8590.8,8.5575,,638.81,0.19516,8910,8.5575,,575.73,0.18833,8278.6,8.5575,,,,,
300.7,0.1578,5232.1,8.6716,,296.03,0.15494,5102.9,8.6716,,279.48,0.1503,4999.1,8.6716,,279.72,0.14749,4999.9,8.6716,,279.69,0.14646,5003.7,8.6716,,318.65,0.15336,5474.6,8.6716,,361.22,0.16027,5970.9,8.6716,,407.54,0.16716,6494.7,8.6716,,457.89,0.17404,7046.6,8.6716,,512.44,0.18094,7625.8,8.6716,,571.4,0.18784,8234.5,8.6716,,635,0.19476,8872.3,8.6716,,668.6,0.19821,9203.7,8.6716,,602.61,0.1913,8549.9,8.6716,,,,,
314.31,0.16013,5393.6,8.7857,,309.32,0.15734,5253.4,8.7857,,292.47,0.15266,5159.9,8.7857,,292.71,0.1499,5159.2,8.7857,,292.69,0.14883,5162.2,8.7857,,333.41,0.15583,5649,8.7857,,377.9,0.16282,6160.4,8.7857,,426.36,0.16979,6703.3,8.7857,,479,0.17677,7273.3,8.7857,,536.04,0.18376,7870.2,8.7857,,597.71,0.19075,8500.7,8.7857,,664.23,0.19777,9160.6,8.7857,,699.37,0.20126,9504.4,8.7857,,630.34,0.19426,8826.1,8.7857,,,,,
328.22,0.1624,5557.2,8.8998,,322.93,0.15979,5409.1,8.8998,,305.86,0.15501,5321.6,8.8998,,306.12,0.15231,5322.9,8.8998,,306.08,0.1512,5324.4,8.8998,,348.65,0.15829,5826.7,8.8998,,395.13,0.16537,6355.2,8.8998,,445.76,0.17242,6915.2,8.8998,,500.79,0.1795,7503.8,8.8998,,560.4,0.18659,8121.6,8.8998,,624.86,0.19367,8771.9,8.8998,,694.4,0.20078,9456.2,8.8998,,731.17,0.20432,9808.8,8.8998,,658.96,0.19722,9109,8.8998,,,,,
342.63,0.16473,5727.6,9.0139,,336.82,0.16218,5564.9,9.0139,,319.68,0.15734,5486.2,9.0139,,319.96,0.15472,5491.6,9.0139,,319.92,0.15357,5489.7,9.0139,,364.36,0.16075,6006.6,9.0139,,412.88,0.16791,6554.4,9.0139,,465.78,0.17506,7131.7,9.0139,,523.25,0.18223,7737.9,9.0139,,585.53,0.18942,8378.1,9.0139,,652.86,0.19659,9048.9,9.0139,,725.54,0.20379,9755.3,9.0139,,763.95,0.20738,10121,9.0139,,688.51,0.20019,9399,9.0139,,,,,
357.71,0.1671,5902.2,9.128,,351.38,0.16462,5726,9.128,,333.91,0.15968,5653.1,9.128,,334.22,0.15713,5660.8,9.128,,334.17,0.15595,5657.9,9.128,,380.55,0.16321,6190.6,9.128,,431.2,0.17045,6756.7,9.128,,486.42,0.1777,7352.2,9.128,,546.4,0.18497,7977.6,9.128,,611.45,0.19225,8638.5,9.128,,681.74,0.19951,9333,9.128,,757.66,0.2068,10062,9.128,,797.79,0.21044,10439,9.128,,719,0.20315,9692.7,9.128,,,,,
372.85,0.1694,6077,9.2421,,366.28,0.16711,5896,9.2421,,348.58,0.16206,5821.9,9.2421,,348.92,0.15954,5832,9.2421,,348.86,0.15832,5829.1,9.2421,,397.21,0.16566,6378.8,9.2421,,450.08,0.173,6962.4,9.2421,,507.7,0.18035,7576.5,9.2421,,570.28,0.1877,8223.3,9.2421,,638.16,0.19507,8903.8,9.2421,,711.56,0.20243,9621.6,9.2421,,790.79,0.20981,10374,9.2421,,832.66,0.2135,10763,9.2421,,750.43,0.20612,9993.1,9.2421,,,,,
