763,0.213,10200,,,738,0.212,9660,,,720,0.209,9710,,,721,0.205,9720,,,721.3,0.20334,9715.4,,,820.95,0.21245,10655,,,930.04,0.22156,11653,,,1049.1,0.23065,12707,,,1178.8,0.23972,13823,,,1319.7,0.24879,15000,,,1472.3,0.25781,16243,,,1637.3,0.26689,17546,,,1724.5,0.27137,18211,,,1553.2,0.26236,16889,,,0,0,0,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s)
2.74E-22,0,5.77E-12,0.9128,,2.22E-22,0,3.11E-11,0.9128,,2.51E-22,0,2.06E-12,0.9128,,2.02E-22,0,1.22E-11,0.9128,,3.98E-22,0,1.18E-11,0.9128,,4.2883E-22,0,4.1057E-11,0.9128,,4.6105E-22,0,4.4963E-12,0.9128,,4.94E-22,0,6.34E-12,0.9128,,5.29E-22,0,1.61E-11,0.9128,,5.65E-22,0,1.84E-11,0.9128,,6.02E-22,0,6.05E-12,0.9128,,6.40E-22,0,1.22E-11,0.9128,,6.59E-22,0,1.18E-11,0.9128,,6.21E-22,0,1.71E-12,0.9128,,,,,
3.47E-22,0,1.6E-11,1.0269,,2.81E-22,0,3.72E-11,1.0269,,3.18E-22,0,1.69E-11,1.0269,,2.55E-22,0,2.16E-11,1.0269,,5.03E-22,0,2.91E-12,1.0269,,5.4273E-22,0,9.4258E-12,1.0269,,5.8351E-22,0,5.7829E-12,1.0269,,6.26E-22,0,1.66E-11,1.0269,,6.70E-22,0,3.05E-12,1.0269,,7.15E-22,0,5.61E-12,1.0269,,7.61E-22,0,6.94E-12,1.0269,,8.10E-22,0,2.05E-11,1.0269,,8.34E-22,0,2.70E-11,1.0269,,7.85E-22,0,4.88E-11,1.0269,,,,,
4.29E-22,0,4.17E-11,1.141,,3.47E-22,0,1.42E-11,1.141,,3.93E-22,0,4.03E-12,1.141,,3.15E-22,0,7.22E-12,1.141,,6.22E-22,0,8.23E-12,1.141,,6.7003E-22,0,3.7973E-11,1.141,,7.2039E-22,0,1.4015E-12,1.141,,7.73E-22,0,3.75E-11,1.141,,8.27E-22,0,2.17E-11,1.141,,8.82E-22,0,7.99E-12,1.141,,9.40E-22,0,4.90E-12,1.141,,1.00E-21,0,1.43E-11,1.141,,1.03E-21,0,1.59E-11,1.141,,9.70E-22,0,1.86E-11,1.141,,,,,
5.19E-22,0,7.51E-12,1.2551,,4.2E-22,0,9.38E-12,1.2551,,4.75E-22,0,1.01E-11,1.2551,,3.81E-22,0,1.31E-11,1.2551,,7.52E-22,0,1.4E-11,1.2551,,8.1074E-22,0,4.5701E-12,1.2551,,8.7169E-22,0,3.5315E-12,1.2551,,9.35E-22,0,2.36E-11,1.2551,,1.00E-21,0,4.90E-11,1.2551,,1.07E-21,0,4.98E-12,1.2551,,1.14E-21,0,1.55E-11,1.2551,,1.21E-21,0,1.38E-11,1.2551,,1.25E-21,0,2.36E-11,1.2551,,1.17E-21,0,6.38E-12,1.2551,,,,,
6.17E-22,0,9.33E-12,1.3692,,5E-22,0,2.83E-11,1.3692,,5.65E-22,0,1.3E-11,1.3692,,4.53E-22,0,3.28E-12,1.3692,,8.95E-22,0,2.24E-12,1.3692,,9.6484E-22,0,1.9879E-12,1.3692,,1.0374E-21,0,1.8178E-11,1.3692,,1.11E-21,0,1.25E-11,1.3692,,1.19E-21,0,2.82E-11,1.3692,,1.27E-21,0,1.12E-11,1.3692,,1.47E-03,1.02E-03,3.4703,1.3692,,7.39E-03,2.45E-03,7.5545,1.3692,,1.23E-02,2.98E-03,10.238,1.3692,,3.85E-03,1.79E-03,5.3904,1.3692,,,,,
7.24E-22,0,6.59E-12,1.4833,,5.87E-22,0,1.81E-11,1.4833,,6.64E-22,0,6.26E-12,1.4833,,5.32E-22,0,3.5E-11,1.4833,,1.05E-21,0,1.14E-12,1.4833,,1.1324E-21,0,5.3136E-12,1.4833,,1.2175E-21,0,4.0166E-11,1.4833,,1.32E-04,2.62E-04,0.99618,1.4833,,3.90E-03,1.80E-03,5.4205,1.4833,,1.34E-02,3.06E-03,10.8,1.4833,,3.04E-02,4.01E-03,17.335,1.4833,,5.62E-02,5.13E-03,24.849,1.4833,,7.29E-02,5.65E-03,29.195,1.4833,,4.21E-02,4.56E-03,20.904,1.4833,,,,,
8.4E-22,0,2.44E-11,1.5974,,6.81E-22,0,5.29E-12,1.5974,,7.7E-22,0,1.82E-11,1.5974,,6.17E-22,0,1.66E-11,1.5974,,1.22E-21,0,3.55E-12,1.5974,,0.00023973,0.00036066,1.4053,1.5974,,0.005007,0.0020469,6.1536,1.5974,,1.67E-02,3.28E-03,12.352,1.5974,,3.75E-02,4.38E-03,19.593,1.5974,,6.91E-02,5.53E-03,28.224,1.5974,,0.11386,6.65E-03,38.866,1.5974,,0.17369,7.93E-03,49.817,1.5974,,0.20892,8.54E-03,55.409,1.5974,,0.14198,7.29E-03,44.39,1.5974,,,,,
9.64E-22,0,2.96E-12,1.7115,,7.82E-22,0,3.54E-11,1.7115,,8.83E-22,0,3.15E-11,1.7115,,0.00397,0.000881,7.3109,1.7115,,0.004,0.00183,5.4808,1.7115,,0.015722,0.0032168,11.907,1.7115,,0.037751,0.0044004,19.675,1.7115,,7.20E-02,5.60E-03,29.004,1.7115,,0.12204,6.87E-03,40.554,1.7115,,0.18881,8.19E-03,52.248,1.7115,,0.27268,9.49E-03,64.653,1.7115,,0.37474,1.09E-02,77.005,1.7115,,0.43277,1.16E-02,83.761,1.7115,,0.32152,1.02E-02,70.809,1.7115,,,,,
1.1E-21,0,6.46E-11,1.8256,,8.89E-22,0,5E-12,1.8256,,1.01E-21,0,1.78E-11,1.8256,,0.0399,0.00356,23.804,1.8256,,0.0309,0.00409,17.565,1.8256,,0.06429,0.0053707,27.008,1.8256,,0.11486,0.0067183,39.09,1.8256,,0.18429,8.10E-03,51.553,1.8256,,0.27358,9.53E-03,64.78,1.8256,,0.38306,1.10E-02,78.033,1.8256,,0.51462,1.24E-02,92.711,1.8256,,0.67123,1.39E-02,108.96,1.8256,,0.75874,1.46E-02,117.35,1.8256,,0.58973,1.32E-02,100.59,1.8256,,,,,
1.24E-21,0,4.57E-11,1.9397,,1E-21,0,2.19E-11,1.9397,,0.0147,0.00138,21.604,1.9397,,0.12362,0.00689,42.942,1.9397,,0.094,0.00621,34.446,1.9397,,0.16113,0.0076761,47.827,1.9397,,0.25008,0.0091944,61.567,1.9397,,0.36171,1.07E-02,75.551,1.9397,,0.498,1.23E-02,90.944,1.9397,,0.66195,1.38E-02,108.07,1.9397,,0.85437,1.53E-02,125.78,1.9397,,1.0783,1.69E-02,144.57,1.9397,,1.201,1.77E-02,154.41,1.9397,,0.963,1.61E-02,134.98,1.9397,,,,,
0.000292,0.000167,4.0053,2.0538,,0.000286,0.000175,3.9452,2.0538,,0.10527,0.00418,52.048,2.0538,,0.25454,0.0102,60.661,2.0538,,0.20588,0.00848,55.012,2.0538,,0.31386,0.010095,69.947,2.0538,,0.44772,0.011726,85.472,2.0538,,0.61199,1.34E-02,102.95,2.0538,,0.80785,1.50E-02,121.79,2.0538,,1.0387,1.66E-02,141.35,2.0538,,1.3016,1.82E-02,162.09,2.0538,,1.6056,1.99E-02,183.53,2.0538,,1.7712,2.07E-02,194.41,2.0538,,1.4486,1.91E-02,172.61,2.0538,,,,,
0.0723,0.00265,62.53,2.1679,,0.0717,0.0028,61.754,2.1679,,0.26483,0.00705,78.288,2.1679,,0.43141,0.013,81.435,2.1679,,0.37064,0.0108,76.606,2.1679,,0.52708,0.012561,94.084,2.1679,,0.71784,0.01429,113.61,2.1679,,0.94696,1.60E-02,133.72,2.1679,,1.2119,1.77E-02,155.34,2.1679,,1.52,1.95E-02,177.67,2.1679,,1.8689,2.12E-02,200.83,2.1679,,2.265,2.30E-02,225.13,2.1679,,2.4778,2.39E-02,237.55,2.1679,,2.0623,2.21E-02,212.84,2.1679,,,,,
