Depth 1,,,,,Depth 2,,,,,Depth 3,,,,,Depth 4,,,,,Depth 5,,,,,Depth 4,,,,,Depth 5,,,,,Depth 6,,,,,Depth 7,,,,,Depth 8,,,,,Depth 9,,,,,Depth 10,,,,,Depth 11,,,,,Depth 12,,,,,Depth 13,,,,,Depth 14,,,,,Depth 15,,,
1.22E+02,48.67255595,5.74E-01,,,1.24E+02,4.93E+01,5.73E-01,,,1.25E+02,4.99E+01,5.72E-01,,,1.26E+02,5.05E+01,5.71E-01,,,1.27E+02,5.11E+01,5.70E-01,,,1.29E+02,5.17E+01,5.69E-01,,,1.30E+02,5.23E+01,5.68E-01,,,1.31E+02,5.29E+01,5.67E-01,,,1.33E+02,5.35E+01,5.66E-01,,,1.34E+02,5.42E+01,5.65E-01,,,1.35E+02,5.49E+01,5.64E-01,,,1.37E+02,5.56E+01,5.63E-01,,,1.38E+02,5.63E+01,5.62E-01,,,1.40E+02,5.71E+01,5.61E-01,,,1.41E+02,5.79E+01,5.60E-01,,,1.59E+02,6.90E+01,5.47E-01,,,1.80E+02,8.32E+01,5.34E-01,
8.70E+01,2.83E+01,9.26E+02,,,8.60E+01,2.75E+01,9.14E+02,,,8.50E+01,2.68E+01,9.02E+02,,,8.40E+01,2.61E+01,8.89E+02,,,8.30E+01,2.54E+01,8.77E+02,,,8.20E+01,2.47E+01,8.65E+02,,,8.10E+01,2.41E+01,8.53E+02,,,8.00E+01,2.34E+01,8.40E+02,,,7.90E+01,2.27E+01,8.28E+02,,,7.80E+01,2.21E+01,8.15E+02,,,7.70E+01,2.14E+01,8.03E+02,,,7.60E+01,2.08E+01,7.90E+02,,,7.50E+01,2.02E+01,7.78E+02,,,7.40E+01,1.95E+01,7.65E+02,,,7.30E+01,1.89E+01,7.52E+02,,,6.30E+01,1.34E+01,6.31E+02,,,5.30E+01,8.88E+00,5.06E+02,
hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s)
1.39E-02,3.38E-01,74.973,1.6,,1.38E-02,3.28E-01,7.38E+01,1.6,,1.36E-02,3.19E-01,72.607,1.6,,1.34E-02,3.10E-01,71.419,1.6,,1.33E-02,3.01E-01,70.233,1.6,,1.31E-02,2.92E-01,69.034,1.6,,1.30E-02,2.83E-01,67.818,1.6,,1.28E-02,2.75E-01,66.584,1.6,,1.26E-02,2.66E-01,65.346,1.6,,1.25E-02,2.58E-01,64.105,1.6,,1.23E-02,2.50E-01,62.854,1.6,,1.22E-02,2.42E-01,61.602,1.6,,1.20E-02,2.34E-01,60.343,1.6,,1.18E-02,2.26E-01,59.07,1.6,,1.17E-02,2.19E-01,57.794,1.6,,1.01E-02,1.51E-01,47.259,1.6,,8.48E-03,9.74E-02,36.465,1.6
1.57E-02,0.45282,89.582,1.8,,1.55E-02,4.40E-01,88.042,1.8,,1.53E-02,4.27E-01,86.506,1.8,,1.51E-02,4.15E-01,84.966,1.8,,1.49E-02,4.03E-01,83.427,1.8,,1.48E-02,3.91E-01,81.87,1.8,,1.46E-02,3.79E-01,80.299,1.8,,1.44E-02,3.68E-01,78.714,1.8,,1.42E-02,3.56E-01,77.265,1.8,,1.40E-02,3.45E-01,75.928,1.8,,1.39E-02,3.35E-01,74.594,1.8,,1.37E-02,3.24E-01,73.257,1.8,,1.35E-02,3.13E-01,71.914,1.8,,1.33E-02,3.03E-01,70.565,1.8,,1.31E-02,2.93E-01,69.214,1.8,,1.13E-02,2.03E-01,55.445,1.8,,9.54E-03,1.32E-01,43.718,1.8
1.74E-02,0.58905,104.08,2,,1.72E-02,5.72E-01,102.45,2,,1.70E-02,5.56E-01,100.81,2,,1.68E-02,5.40E-01,99.176,2,,1.66E-02,5.24E-01,97.535,2,,1.64E-02,5.09E-01,95.884,2,,1.62E-02,4.93E-01,94.218,2,,1.60E-02,4.78E-01,92.546,2,,1.58E-02,4.63E-01,90.854,2,,1.56E-02,4.49E-01,89.144,2,,1.54E-02,4.35E-01,87.423,2,,1.52E-02,4.21E-01,85.703,2,,1.50E-02,4.07E-01,83.976,2,,1.48E-02,3.94E-01,82.246,2,,1.46E-02,3.81E-01,80.509,2,,1.26E-02,2.64E-01,65.128,2,,1.06E-02,1.72E-01,50.701,2
1.91E-02,0.74496,118.85,2.2,,1.89E-02,7.24E-01,116.75,2.2,,1.87E-02,7.04E-01,114.64,2.2,,1.85E-02,6.84E-01,112.88,2.2,,1.83E-02,6.64E-01,111.11,2.2,,1.80E-02,6.45E-01,109.35,2.2,,1.78E-02,6.25E-01,107.58,2.2,,1.76E-02,6.07E-01,105.79,2.2,,1.74E-02,5.88E-01,104,2.2,,1.72E-02,5.70E-01,102.19,2.2,,1.69E-02,5.52E-01,100.38,2.2,,1.67E-02,5.34E-01,98.56,2.2,,1.65E-02,5.17E-01,96.737,2.2,,1.63E-02,5.00E-01,94.909,2.2,,1.61E-02,4.83E-01,93.078,2.2,,1.39E-02,3.35E-01,74.682,2.2,,1.17E-02,2.18E-01,57.735,2.2
2.09E-02,0.92182,135.2,2.4,,2.06E-02,8.96E-01,133.01,2.4,,2.04E-02,8.71E-01,130.82,2.4,,2.02E-02,8.46E-01,128.58,2.4,,1.99E-02,8.22E-01,126.33,2.4,,1.97E-02,7.98E-01,124.07,2.4,,1.94E-02,7.74E-01,121.79,2.4,,1.92E-02,7.51E-01,119.5,2.4,,1.90E-02,7.29E-01,117.21,2.4,,1.87E-02,7.06E-01,114.89,2.4,,1.85E-02,6.84E-01,112.91,2.4,,1.82E-02,6.63E-01,110.98,2.4,,1.80E-02,6.41E-01,109.05,2.4,,1.78E-02,6.20E-01,107.11,2.4,,1.75E-02,6.00E-01,105.17,2.4,,1.51E-02,4.16E-01,85.109,2.4,,1.27E-02,2.71E-01,66.107,2.4
2.26E-02,1.1217,151.51,2.6,,2.24E-02,1.09E+00,148.85,2.6,,2.21E-02,1.06E+00,146.32,2.6,,2.18E-02,1.03E+00,143.98,2.6,,2.16E-02,1.00E+00,141.63,2.6,,2.13E-02,9.71E-01,139.27,2.6,,2.11E-02,9.42E-01,136.91,2.6,,2.08E-02,9.14E-01,134.54,2.6,,2.05E-02,8.86E-01,132.16,2.6,,2.03E-02,8.59E-01,129.76,2.6,,2.00E-02,8.32E-01,127.32,2.6,,1.98E-02,8.06E-01,124.86,2.6,,1.95E-02,7.80E-01,122.39,2.6,,1.92E-02,7.55E-01,119.92,2.6,,1.90E-02,7.31E-01,117.44,2.6,,1.64E-02,5.08E-01,95.827,2.6,,1.38E-02,3.30E-01,74.137,2.6
2.44E-02,1.3463,169.02,2.8,,2.41E-02,1.31E+00,166.27,2.8,,2.38E-02,1.27E+00,163.51,2.8,,2.35E-02,1.24E+00,160.7,2.8,,2.32E-02,1.20E+00,157.86,2.8,,2.30E-02,1.16E+00,155.03,2.8,,2.27E-02,1.13E+00,152.19,2.8,,2.24E-02,1.10E+00,149.32,2.8,,2.21E-02,1.06E+00,146.55,2.8,,2.18E-02,1.03E+00,144.04,2.8,,2.16E-02,9.98E-01,141.49,2.8,,2.13E-02,9.66E-01,138.94,2.8,,2.10E-02,9.36E-01,136.39,2.8,,2.07E-02,9.05E-01,133.83,2.8,,2.04E-02,8.76E-01,131.27,2.8,,1.76E-02,6.11E-01,106.21,2.8,,1.48E-02,3.97E-01,82.734,2.8
2.61E-02,1.5952,185.87,3,,2.58E-02,1.55E+00,183.02,3,,2.55E-02,1.51E+00,180.15,3,,2.52E-02,1.46E+00,177.26,3,,2.49E-02,1.42E+00,174.35,3,,2.46E-02,1.38E+00,171.43,3,,2.43E-02,1.34E+00,168.49,3,,2.40E-02,1.30E+00,165.53,3,,2.37E-02,1.26E+00,162.56,3,,2.34E-02,1.22E+00,159.55,3,,2.31E-02,1.18E+00,156.49,3,,2.28E-02,1.14E+00,153.44,3,,2.25E-02,1.11E+00,150.38,3,,2.22E-02,1.07E+00,147.3,3,,2.19E-02,1.04E+00,144.61,3,,1.89E-02,7.24E-01,116.74,3,,1.59E-02,4.72E-01,91.857,3
2.78E-02,1.8658,203.96,3.2,,2.75E-02,1.81E+00,200.42,3.2,,2.72E-02,1.76E+00,196.88,3.2,,2.69E-02,1.71E+00,193.3,3.2,,2.66E-02,1.67E+00,190.29,3.2,,2.62E-02,1.62E+00,187.25,3.2,,2.59E-02,1.57E+00,184.21,3.2,,2.56E-02,1.52E+00,181.16,3.2,,2.53E-02,1.48E+00,178.08,3.2,,2.50E-02,1.43E+00,174.99,3.2,,2.46E-02,1.39E+00,171.86,3.2,,2.43E-02,1.34E+00,168.71,3.2,,2.40E-02,1.30E+00,165.56,3.2,,2.37E-02,1.26E+00,162.39,3.2,,2.34E-02,1.22E+00,159.18,3.2,,2.02E-02,8.47E-01,128.74,3.2,,1.70E-02,5.54E-01,100.71,3.2
2.96E-02,2.1608,222.82,3.4,,2.92E-02,2.10E+00,219.21,3.4,,2.89E-02,2.04E+00,215.59,3.4,,2.86E-02,1.99E+00,211.92,3.4,,2.82E-02,1.93E+00,208.2,3.4,,2.79E-02,1.87E+00,204.46,3.4,,2.75E-02,1.82E+00,200.69,3.4,,2.72E-02,1.77E+00,196.92,3.4,,2.69E-02,1.71E+00,193.18,3.4,,2.65E-02,1.66E+00,189.96,3.4,,2.62E-02,1.61E+00,186.72,3.4,,2.58E-02,1.56E+00,183.48,3.4,,2.55E-02,1.51E+00,180.22,3.4,,2.52E-02,1.46E+00,176.96,3.4,,2.48E-02,1.41E+00,173.66,3.4,,2.14E-02,9.83E-01,140.32,3.4,,1.80E-02,6.44E-01,109.37,3.4
