Nodes,677,,,,Nodes,911,,,,Nodes,1646,,,,Nodes,5002,,
Elements,2193,,,,Elements,2638,,,,Elements,4325,,,,Elements,13509,,
Average min length,0.32632,,,,Average min length,0.18079,,,,Average min length,0.14014,,,,Average min length,0.077229,,
Average max length,0.18635,,,,Average max length,0.34688,,,,Average max length,0.26719,,,,Average max length,0.13975,Final W,731.5733333
max top,0.261,,,,max top,0.261,,,,max top,0.261,,,,max top,0.261,,
,,,,,,,,,,,,,,,,,,
1.29E+03,1.67E-01,1.49E+04,,,8.17E+02,2.07E-01,1.16E+04,,,7.62E+02,1.89E-01,1.06E+04,,,7.39E+02,2.08E-01,1.00E+04,
W (pJ),hm (um),F (uN),t (s),,W (pJ),hm (um),F (uN),t (s),,W (pJ),hm (um),F (uN),t (s),,W (pJ),hm (um),F (uN),t (s)
19.19,1.69E-02,1747.4,3.8794,,8.132,2.66E-02,742.32,3.8794,,5.3477,2.49E-02,548.66,3.8794,,13.591,4.94E-02,701.02,3.8794
23.831,1.91E-02,1926,3.9935,,10.053,3.00E-02,821.09,3.9935,,6.8503,2.77E-02,620.67,3.9935,,15.49,5.16E-02,758.97,3.9935
29.012,2.14E-02,2103.9,4.1076,,12.164,3.33E-02,898.69,4.1076,,8.5304,3.03E-02,697.49,4.1076,,17.487,5.39E-02,816.09,4.1076
34.693,2.37E-02,2280,4.2217,,14.46,3.67E-02,975.61,4.2217,,10.404,3.29E-02,772.61,4.2217,,19.652,5.62E-02,878.73,4.2217
40.853,2.60E-02,2453.6,4.3358,,16.941,4.01E-02,1051.7,4.3358,,12.507,3.55E-02,847.32,4.3358,,21.997,5.85E-02,949.35,4.3358
47.257,2.82E-02,2620.4,4.4499,,19.607,4.35E-02,1127.4,4.4499,,14.832,3.79E-02,921.77,4.4499,,24.48,6.09E-02,1020.4,4.4499
54.398,3.06E-02,2794.1,4.564,,22.456,4.68E-02,1202.9,4.564,,17.354,4.04E-02,995.52,4.564,,27.143,6.32E-02,1093.7,4.564
61.673,3.29E-02,2957.9,4.6781,,25.489,5.02E-02,1278.5,4.6781,,19.959,4.30E-02,1068.2,4.6781,,29.991,6.56E-02,1168.2,4.6781
69.462,3.52E-02,3123.7,4.7922,,28.722,5.36E-02,1354.3,4.7922,,22.768,4.56E-02,1142,4.7922,,33.077,6.80E-02,1253,4.7922
77.705,3.75E-02,3289.3,4.9063,,32.148,5.70E-02,1430.2,4.9063,,25.762,4.82E-02,1215.5,4.9063,,36.399,7.04E-02,1341.6,4.9063
86.377,3.98E-02,3455,5.0204,,35.762,6.03E-02,1506.1,5.0204,,28.974,5.07E-02,1293.6,5.0204,,39.934,7.27E-02,1429.6,5.0204
95.47,4.21E-02,3620.5,5.1345,,39.563,6.37E-02,1581.9,5.1345,,32.422,5.32E-02,1376.1,5.1345,,43.661,7.51E-02,1515.6,5.1345
104.98,4.44E-02,3785.8,5.2486,,43.553,6.71E-02,1657.8,5.2486,,36.045,5.57E-02,1457,5.2486,,47.623,7.75E-02,1602.5,5.2486
114.9,4.67E-02,3950.7,5.3627,,47.735,7.05E-02,1733.7,5.3627,,39.956,5.82E-02,1542.8,5.3627,,51.787,7.99E-02,1690.6,5.3627
125.23,4.90E-02,4115.3,5.4768,,52.377,7.41E-02,1813.4,5.4768,,44.014,6.07E-02,1654.2,5.4768,,56.182,8.22E-02,1778.1,5.4768
135.49,5.12E-02,4272.7,5.5909,,56.931,7.74E-02,1889.2,5.5909,,48.414,6.32E-02,1764.4,5.5909,,60.804,8.46E-02,1868.8,5.5909
146.8,5.36E-02,4440.3,5.705,,61.675,8.08E-02,1965.2,5.705,,53.031,6.58E-02,1872.7,5.705,,65.666,8.70E-02,1961.1,5.705
158.44,5.59E-02,4605.9,5.8191,,66.621,8.42E-02,2041.5,5.8191,,57.993,6.83E-02,1980.2,5.8191,,70.738,8.94E-02,2055.2,5.8191
170.43,5.82E-02,4771.4,5.9332,,71.765,8.75E-02,2117.9,5.9332,,63.235,7.06E-02,2095.8,5.9332,,76.118,9.18E-02,2155.9,5.9332
182.33,6.04E-02,4929.8,6.0473,,77.11,9.09E-02,2194.5,6.0473,,68.676,7.31E-02,2207.1,6.0473,,81.735,9.42E-02,2260.8,6.0473
195.26,6.28E-02,5096.7,6.1614,,82.637,9.44E-02,2280.8,6.1614,,74.424,7.56E-02,2320.1,6.1614,,87.693,9.65E-02,2365.4,6.1614
208.58,6.51E-02,5263.4,6.2755,,88.374,9.80E-02,2371.9,6.2755,,80.507,7.82E-02,2432.6,6.2755,,93.867,9.89E-02,2472.3,6.2755
221.2,6.72E-02,5417.4,6.3896,,94.339,0.10163,2462.6,6.3896,,86.792,8.07E-02,2544.1,6.3896,,100.29,0.10131,2578.4,6.3896
235.6,6.96E-02,5587.6,6.5037,,100.46,0.10474,2579.4,6.5037,,93.408,8.31E-02,2656.7,6.5037,,106.98,0.10369,2685.9,6.5037
249.75,7.18E-02,5750.5,6.6178,,107.02,0.10743,2735.2,6.6178,,100.35,8.56E-02,2776,6.6178,,114,0.10609,2795.7,6.6178
264.81,7.42E-02,5919.4,6.7319,,114.01,0.10977,2932.9,6.7319,,107.75,8.81E-02,2891.3,6.7319,,121.29,0.10848,2907.3,6.7319
279.17,7.63E-02,6076.3,6.846,,121.56,0.11211,3126.9,6.846,,115.43,9.03E-02,3017.5,6.846,,128.79,0.11086,3024,6.846
295.16,7.87E-02,6246.8,6.9601,,129.6,0.11445,3317.6,6.9601,,123.62,9.28E-02,3156.3,6.9601,,136.64,0.11325,3144.6,6.9601
310.39,8.09E-02,6405.9,7.0742,,138.12,0.11681,3505.1,7.0742,,131.92,9.53E-02,3295.1,7.0742,,144.8,0.11565,3266.9,7.0742
327.29,8.32E-02,6578,7.1883,,147.12,0.11917,3689.5,7.1883,,140.55,9.78E-02,3433.7,7.1883,,153.28,0.11804,3389.9,7.1883
343.26,8.54E-02,6737,7.3024,,156.58,0.12154,3871.4,7.3024,,149.53,0.10026,3571.5,7.3024,,161.99,0.12045,3514.1,7.3024
360.58,8.77E-02,6907.7,7.4165,,166.5,0.12392,4050.5,7.4165,,159.28,0.10346,3712.4,7.4165,,171.1,0.12285,3645.9,7.4165
377.88,8.99E-02,7076.1,7.5306,,176.87,0.1263,4227.9,7.5306,,168.86,0.10604,3859.2,7.5306,,180.53,0.12526,3777.9,7.5306
396.26,9.23E-02,7251.5,7.6447,,187.68,0.12869,4403.7,7.6447,,178.9,0.10854,4011.6,7.6447,,190.33,0.12766,3914.1,7.6447
414.69,9.46E-02,7425.2,7.7588,,198.93,0.13108,4578.3,7.7588,,189.44,0.11108,4169.6,7.7588,,200.46,0.13006,4049.7,7.7588
433.92,9.69E-02,7601,7.8729,,210.6,0.13347,4751.8,7.8729,,200.34,0.11361,4321.1,7.8729,,210.93,0.13246,4186.9,7.8729
452.77,9.91E-02,7777,7.987,,222.71,0.13586,4924.2,7.987,,211.67,0.11614,4475.1,7.987,,221.75,0.13486,4324.9,7.987
473.14,0.10152,7963.2,8.1011,,235.25,0.13826,5095.7,8.1011,,223.3,0.11862,4633.1,8.1011,,232.91,0.13726,4463.6,8.1011
494.03,0.10387,8156.2,8.2152,,248.21,0.14065,5266.7,8.2152,,235.37,0.12107,4795,8.2152,,244.39,0.13964,4610.9,8.2152
515.06,0.10597,8434.2,8.3293,,261.61,0.14305,5437.4,8.3293,,248.2,0.12347,4961.2,8.3293,,256.27,0.14202,4760.7,8.3293
536.46,0.10823,8627.6,8.4434,,275.46,0.14546,5608.1,8.4434,,261.11,0.1259,5127.6,8.4434,,268.56,0.14441,4915.6,8.4434
558.22,0.11051,8816.9,8.5575,,289.81,0.14787,5779.6,8.5575,,274.41,0.1283,5295.3,8.5575,,281.24,0.14679,5075.2,8.5575
580.92,0.11284,9018.5,8.6716,,304.6,0.15028,5951.1,8.6716,,288.1,0.1307,5462.9,8.6716,,294.3,0.14917,5239.6,8.6716
604.04,0.11517,9217.4,8.7857,,319.82,0.15269,6122.5,8.7857,,302.33,0.13312,5632.1,8.7857,,307.8,0.15155,5404.9,8.7857
627.77,0.11751,9420.8,8.8998,,335.46,0.1551,6294.1,8.8998,,317,0.13552,5803.5,8.8998,,321.74,0.15396,5572.5,8.8998
651.94,0.11984,9624.2,9.0139,,351.55,0.15752,6465.9,9.0139,,332.09,0.13794,5975.4,9.0139,,336.08,0.15634,5739.5,9.0139
676.58,0.12218,9825,9.128,,368.03,0.15993,6652.7,9.128,,347.54,0.14036,6144.8,9.128,,350.85,0.15875,5907,9.128
702.18,0.12455,10031,9.2421,,384.97,0.16234,6860.4,9.2421,,363.38,0.1427,6316.9,9.2421,,366.05,0.16113,6078.9,9.2421
