0.510491516,155724.9766,160.612921,,0.514217096,135664.8675,149.4571069,,0.505662492,175034.6214,171.6433945,,0.510491516,155724.9766,160.612921,,0.514217096,135664.8675,149.4571069,,0.518111675,113175.9546,136.7966094,,0.520982479,98647.98694,129.900645,,0.519066404,90342.34753,127.1936752,,0.515625499,79142.24664,122.334213,,0.517385152,123378.6164,141.9310207,,0.512724551,145181.9923,154.5749507
662.44,251.04,10123,,570.44,241.04,8685.4,,767.33,261.05,11698,,662.44,251.04,10123,,570.44,241.04,8685.4,,492.5,231.03,7303.2,,424.64,221.03,6346.5,,365.04,211.03,5665.9,,313.27,201.03,4944,,530.05,236.03,7908.4,,614.56,246.04,9358.2
W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN)
1.23E-29,3.01E-02,1.39E-13,,6.63E-30,2.89E-02,3.31E-13,,1.33E-29,3.13E-02,8.84E-14,,1.23E-29,3.01E-02,1.39E-13,,6.63E-30,2.89E-02,3.31E-13,,4.12E-30,2.77E-02,7.44E-13,,1.41E-29,2.65E-02,6.38E-13,,4.64E-30,2.53E-02,4.92E-13,,3.57E-30,2.41E-02,1.54E-13,,3.42E-30,2.83E-02,4.21E-13,,1.14E-29,2.95E-02,1.14E-12
1.91E-29,3.26E-02,1.30E-12,,1.22E-29,3.13E-02,4.25E-13,,2.00E-29,3.39E-02,9.65E-13,,1.91E-29,3.26E-02,1.30E-12,,1.22E-29,3.13E-02,4.25E-13,,7.73E-30,3.00E-02,5.13E-13,,2.40E-29,2.87E-02,2.11E-13,,9.30E-30,2.74E-02,6.26E-13,,6.85E-30,2.61E-02,3.18E-13,,7.20E-30,3.07E-02,1.14E-13,,2.47E-29,3.20E-02,1.54E-12
2.60E-29,3.51E-02,8.10E-13,,2.02E-29,3.37E-02,1.67E-12,,4.09E-29,3.65E-02,1.23E-12,,2.60E-29,3.51E-02,8.10E-13,,2.02E-29,3.37E-02,1.67E-12,,1.08E-29,3.23E-02,2.17E-13,,4.21E-29,3.09E-02,1.17E-12,,1.21E-29,2.95E-02,5.50E-13,,1.30E-29,2.81E-02,3.10E-13,,7.52E-30,3.30E-02,1.68E-13,,3.89E-29,3.44E-02,1.36E-12
4.69E-29,3.77E-02,1.18E-12,,3.66E-29,3.62E-02,1.17E-12,,6.81E-29,3.92E-02,6.13E-13,,4.69E-29,3.77E-02,1.18E-12,,3.66E-29,3.62E-02,1.17E-12,,2.26E-29,3.47E-02,1.32E-13,,6.34E-29,3.32E-02,3.12E-13,,2.12E-29,3.17E-02,1.50E-13,,2.26E-29,3.02E-02,5.13E-13,,1.45E-29,3.54E-02,1.03E-12,,5.63E-29,3.69E-02,3.21E-13
6.51E-29,4.02E-02,1.15E-13,,6.46E-29,3.86E-02,2.98E-13,,9.77E-29,4.18E-02,6.74E-13,,6.51E-29,4.02E-02,1.15E-13,,6.46E-29,3.86E-02,2.98E-13,,3.23E-29,3.70E-02,7.56E-13,,9.29E-29,3.54E-02,1.98E-13,,2.67E-29,3.38E-02,4.10E-13,,3.15E-29,3.22E-02,4.88E-13,,3.24E-29,3.78E-02,1.24E-13,,8.32E-29,3.94E-02,8.25E-13
9.58E-29,4.27E-02,8.89E-14,,9.37E-29,4.10E-02,3.96E-13,,1.33E-28,4.44E-02,5.45E-13,,9.58E-29,4.27E-02,8.89E-14,,9.37E-29,4.10E-02,3.96E-13,,4.48E-29,3.93E-02,9.46E-13,,1.10E-28,3.76E-02,1.12E-12,,5.47E-29,3.59E-02,4.45E-13,,5.31E-29,3.42E-02,1.05E-13,,5.30E-29,4.01E-02,2.12E-13,,1.07E-28,4.18E-02,5.30E-13
1.17E-28,4.52E-02,3.40E-13,,1.12E-28,4.34E-02,6.51E-13,,1.70E-28,4.70E-02,6.85E-13,,1.17E-28,4.52E-02,3.40E-13,,1.12E-28,4.34E-02,6.51E-13,,5.64E-29,4.16E-02,4.57E-13,,1.28E-28,3.98E-02,3.01E-13,,6.56E-29,3.80E-02,6.49E-13,,7.76E-29,3.62E-02,1.30E-12,,6.42E-29,4.25E-02,4.03E-13,,1.20E-28,4.43E-02,5.16E-13
1.47E-28,4.77E-02,6.65E-13,,1.53E-28,4.58E-02,1.89E-12,,2.30E-28,4.96E-02,7.09E-13,,1.47E-28,4.77E-02,6.65E-13,,1.53E-28,4.58E-02,1.89E-12,,8.90E-29,4.39E-02,6.46E-13,,1.50E-28,4.20E-02,2.51E-13,,8.57E-29,4.01E-02,7.95E-13,,9.51E-29,3.82E-02,3.67E-13,,9.42E-29,4.48E-02,1.97E-13,,1.67E-28,4.67E-02,1.50E-13
1.95E-28,5.02E-02,9.17E-13,,1.95E-28,4.82E-02,7.74E-13,,3.05E-28,5.22E-02,3.17E-13,,1.95E-28,5.02E-02,9.17E-13,,1.95E-28,4.82E-02,7.74E-13,,1.05E-28,4.62E-02,5.13E-13,,1.74E-28,4.42E-02,1.06E-12,,1.19E-28,4.22E-02,3.92E-13,,1.23E-28,4.02E-02,4.03E-13,,1.34E-28,4.72E-02,1.88E-13,,2.24E-28,4.92E-02,3.53E-13
2.46E-28,5.27E-02,5.12E-13,,2.50E-28,5.06E-02,1.09E-12,,3.93E-28,5.48E-02,1.57E-12,,2.46E-28,5.27E-02,5.12E-13,,2.50E-28,5.06E-02,1.09E-12,,1.45E-28,4.85E-02,6.11E-13,,2.07E-28,4.64E-02,5.17E-13,,1.30E-28,4.43E-02,2.29E-13,,1.49E-28,4.22E-02,4.07E-13,,1.77E-28,4.96E-02,4.16E-13,,2.88E-28,5.17E-02,5.18E-13
2.95E-28,5.52E-02,2.27E-13,,3.07E-28,5.30E-02,8.87E-13,,4.58E-28,5.74E-02,5.77E-13,,2.95E-28,5.52E-02,2.27E-13,,3.07E-28,5.30E-02,8.87E-13,,1.54E-28,5.08E-02,8.78E-13,,2.34E-28,4.86E-02,5.70E-13,,1.71E-28,4.64E-02,3.40E-13,,1.88E-28,4.42E-02,2.05E-13,,2.05E-28,5.19E-02,1.44E-13,,3.60E-28,5.41E-02,4.60E-13
3.46E-28,5.77E-02,8.50E-13,,3.76E-28,5.54E-02,4.31E-13,,5.50E-28,6.00E-02,1.52E-13,,3.46E-28,5.77E-02,8.50E-13,,3.76E-28,5.54E-02,4.31E-13,,1.98E-28,5.31E-02,3.17E-13,,2.92E-28,5.08E-02,4.04E-13,,2.12E-28,4.85E-02,6.54E-13,,2.24E-28,4.62E-02,1.26E-12,,2.51E-28,5.43E-02,3.23E-13,,3.97E-28,5.66E-02,2.04E-13
4.13E-28,6.02E-02,5.98E-13,,4.59E-28,5.78E-02,3.76E-13,,6.66E-28,6.26E-02,1.83E-13,,4.13E-28,6.02E-02,5.98E-13,,4.59E-28,5.78E-02,3.76E-13,,2.53E-28,5.54E-02,2.98E-13,,3.17E-28,5.30E-02,4.19E-13,,2.81E-28,5.06E-02,3.78E-13,,2.52E-28,4.82E-02,1.78E-13,,2.85E-28,5.66E-02,1.54E-12,,4.59E-28,5.90E-02,3.11E-13
4.51E-28,6.28E-02,4.72E-13,,5.50E-28,6.03E-02,8.66E-13,,7.97E-28,6.53E-02,5.86E-13,,4.51E-28,6.28E-02,4.72E-13,,5.50E-28,6.03E-02,8.66E-13,,2.90E-28,5.78E-02,7.94E-13,,3.88E-28,5.53E-02,8.00E-13,,3.38E-28,5.28E-02,8.72E-14,,3.04E-28,5.03E-02,8.79E-13,,3.51E-28,5.90E-02,1.07E-12,,5.46E-28,6.15E-02,5.54E-13
5.24E-28,6.53E-02,1.04E-12,,6.47E-28,6.27E-02,7.26E-13,,8.77E-04,6.79E-02,9.67E+00,,5.24E-28,6.53E-02,1.04E-12,,6.47E-28,6.27E-02,7.26E-13,,3.63E-28,6.01E-02,9.61E-13,,4.51E-28,5.75E-02,1.18E-12,,3.63E-28,5.49E-02,5.29E-13,,3.34E-28,5.23E-02,8.64E-13,,4.18E-28,6.14E-02,6.91E-13,,6.40E-28,6.40E-02,5.14E-13
6.43E-04,6.78E-02,8.2784,,7.04E-28,6.51E-02,8.74E-14,,1.52E-01,7.05E-02,127.45,,6.43E-04,6.78E-02,8.2784,,7.04E-28,6.51E-02,8.74E-14,,4.29E-28,6.24E-02,1.11E-12,,5.23E-28,5.97E-02,3.20E-13,,4.40E-28,5.70E-02,1.78E-13,,3.89E-28,5.43E-02,1.23E-12,,4.43E-28,6.37E-02,2.75E-13,,7.56E-28,6.64E-02,1.19E-12
0.12546,7.03E-02,115.81,,1.71E-04,6.75E-02,4.2738,,0.66696,7.31E-02,267,,0.12546,7.03E-02,115.81,,1.71E-04,6.75E-02,4.2738,,4.99E-28,6.47E-02,3.19E-13,,6.07E-28,6.19E-02,4.05E-13,,5.21E-28,5.91E-02,5.80E-13,,4.27E-28,5.63E-02,5.06E-13,,5.28E-28,6.61E-02,3.25E-13,,1.74E-02,6.89E-02,43.176
0.59092,7.28E-02,251.43,,8.12E-02,6.99E-02,93.094,,1.5694,7.57E-02,410.09,,0.59092,7.28E-02,251.43,,8.12E-02,6.99E-02,93.094,,5.42E-28,6.70E-02,1.89E-13,,6.80E-28,6.41E-02,7.16E-13,,6.08E-28,6.12E-02,8.65E-13,,4.84E-28,5.83E-02,4.44E-13,,5.66E-03,6.84E-02,24.552,,0.2801,7.13E-02,173.09
1.4136,7.53E-02,389.29,,0.4726,7.23E-02,224.73,,2.7851,7.83E-02,514.99,,1.4136,7.53E-02,389.29,,0.4726,7.23E-02,224.73,,3.55E-02,6.93E-02,61.552,,7.88E-28,6.63E-02,1.62E-13,,7.06E-28,6.33E-02,9.16E-15,,5.56E-28,6.03E-02,5.23E-13,,0.19137,7.08E-02,142.9,,0.86441,7.38E-02,304.11
2.5301,7.78E-02,496.22,,1.1923,7.47E-02,357.39,,4.2522,8.09E-02,612.64,,2.5301,7.78E-02,496.22,,1.1923,7.47E-02,357.39,,0.32962,7.16E-02,187.66,,6.62E-03,6.85E-02,26.56,,7.88E-28,6.54E-02,1.54E-13,,6.07E-28,6.23E-02,1.50E-13,,0.67956,7.32E-02,269.45,,1.8107,7.63E-02,436.54
3.8963,8.03E-02,590.57,,2.1839,7.71E-02,469.29,,5.9673,8.35E-02,704.08,,3.8963,8.03E-02,590.57,,2.1839,7.71E-02,469.29,,0.92474,7.39E-02,314.72,,0.18143,7.07E-02,139.14,,2.19E-04,6.75E-02,4.8261,,6.72E-28,6.43E-02,1.41E-13,,1.4831,7.55E-02,398.52,,2.9915,7.87E-02,530
