Depth 0,,,,,Depth 1,,,,,Depth 2,,,,,Depth 3,,,,,Depth 4,,,,,Depth 5,,,,,Depth 6,,,,,Depth 7,,,,,Depth 8,,,,,Depth 9,,,,,Depth 10,,,,,Depth 11,,,,,Depth 12,,,,,Depth 13,,,,,Depth 14,,,,,Depth 15,,,,,Depth 16,,,
137.5610985,18662.69841,0.580515602,,,139.5577523,18624.19355,0.579157518,,,143.7555556,18550,0.576441343,,,148.2431629,18481.03448,0.573550929,,,153.0484694,18411.60714,0.570486497,,,158.2098765,18348.14815,0.567275711,,,163.7426036,18290.38462,0.564051721,,,169.688,18236,0.560712854,,,172.8363182,18211.22449,0.558994877,,,176.1067708,18187.5,0.557224273,,,179.5065641,18170.21277,0.555412371,,,183.0434783,18147.82609,0.553546744,,,186.7209877,18127.77778,0.551642044,,,190.5423554,18109.09091,0.549725746,,,166.6589773,18262.7451,0.562400912,,,160.9255963,18318.86792,0.565668649,,,155.5867769,18380,0.568889917,
0.063,12.723,545.98,,,0.062,12.297,536.46,,,0.06,11.465,517.52,,,0.058,10.662,498.69,,,0.056,9.887,479.96,,,0.054,9.14,461.34,,,0.052,8.4221,442.76,,,0.05,7.7323,424.22,,,0.049,7.3981,414.98,,,0.048,7.0713,405.75,,,0.047,6.7512,396.53,,,0.046,6.4383,387.32,,,0.045,6.1326,378.11,,,0.044,5.834,368.89,,,0.051,8.0736,433.48,,,0.053,8.7774,452.04,,,0.055,9.5101,470.65,
hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s),,hm (um),W (pJ),F (uN),t (s)
6.30E-04,9.53E-05,0.72953,0.1,,6.20E-04,9.18E-05,7.18E-01,0.1,,6.00E-04,8.48E-05,0.6952,0.1,,5.80E-04,7.81E-05,0.67232,0.1,,5.60E-04,7.16E-05,0.64944,0.1,,5.40E-04,6.53E-05,0.62657,0.1,,5.20E-04,5.92E-05,0.60369,0.1,,5.00E-04,5.34E-05,0.58082,0.1,,4.90E-04,5.06E-05,0.56939,0.1,,4.80E-04,4.78E-05,0.55795,0.1,,4.70E-04,4.53E-05,0.54506,0.1,,4.60E-04,4.31E-05,5.31E-01,1.00E-01,,4.50E-04,4.09E-05,5.18E-01,1.00E-01,,4.40E-04,3.88E-05,5.04E-01,1.00E-01,,5.10E-04,5.63E-05,5.92E-01,1.00E-01,,5.30E-04,6.22E-05,6.15E-01,1.00E-01,,5.50E-04,6.84E-05,0.638,0.1
1.26E-03,5.42E-04,1.7143,0.2,,1.24E-03,5.16E-04,1.63E+00,0.2,,1.20E-03,4.67E-04,1.4554,0.2,,1.16E-03,4.29E-04,1.3916,0.2,,1.12E-03,3.94E-04,1.3378,0.2,,1.08E-03,3.61E-04,1.2849,0.2,,1.04E-03,3.28E-04,1.2315,0.2,,1.00E-03,2.98E-04,1.1798,0.2,,9.80E-04,2.83E-04,1.1542,0.2,,9.60E-04,2.69E-04,1.1286,0.2,,9.40E-04,2.55E-04,1.1031,0.2,,9.20E-04,2.42E-04,1.08E+00,2.00E-01,,9.00E-04,2.29E-04,1.05E+00,2.00E-01,,8.80E-04,2.17E-04,1.03E+00,2.00E-01,,1.02E-03,3.13E-04,1.21E+00,2.00E-01,,1.06E-03,3.44E-04,1.26E+00,2.00E-01,,1.10E-03,3.76E-04,1.3101,0.2
1.89E-03,1.98E-03,4.2686,0.3,,1.86E-03,1.89E-03,4.16E+00,0.3,,1.80E-03,1.70E-03,3.9388,0.3,,1.74E-03,1.53E-03,3.7035,0.3,,1.68E-03,1.37E-03,3.4694,0.3,,1.62E-03,1.22E-03,3.2363,0.3,,1.56E-03,1.07E-03,3.0038,0.3,,1.50E-03,9.42E-04,2.7675,0.3,,1.47E-03,8.82E-04,2.6367,0.3,,1.44E-03,8.25E-04,2.5026,0.3,,1.41E-03,7.71E-04,2.3693,0.3,,1.38E-03,7.20E-04,2.2368,0.3,,1.35E-03,6.71E-04,2.105,0.3,,1.32E-03,6.25E-04,1.9741,0.3,,1.53E-03,1.01E-03,2.8878,0.3,,1.59E-03,1.14E-03,3.1199,0.3,,1.65E-03,1.29E-03,3.3526,0.3
2.52E-03,4.59E-03,6.5247,0.4,,2.48E-03,4.39E-03,6.39E+00,0.4,,2.40E-03,4.00E-03,6.1087,0.4,,2.32E-03,3.64E-03,5.8278,0.4,,2.24E-03,3.29E-03,5.5396,0.4,,2.16E-03,2.96E-03,5.2484,0.4,,2.08E-03,2.65E-03,4.9569,0.4,,2.00E-03,2.36E-03,4.6664,0.4,,1.96E-03,2.22E-03,4.5217,0.4,,1.92E-03,2.08E-03,4.3774,0.4,,1.88E-03,1.95E-03,4.2313,0.4,,1.84E-03,1.82E-03,4.0875,0.4,,1.80E-03,1.70E-03,3.9359,0.4,,1.76E-03,1.59E-03,3.7805,0.4,,2.04E-03,2.50E-03,4.8112,0.4,,2.12E-03,2.80E-03,5.1024,0.4,,2.20E-03,3.12E-03,5.3946,0.4
3.15E-03,8.26E-03,8.668,0.5,,3.10E-03,7.92E-03,8.50E+00,0.5,,3.00E-03,7.26E-03,8.1541,0.5,,2.90E-03,6.64E-03,7.8109,0.5,,2.80E-03,6.05E-03,7.4684,0.5,,2.70E-03,5.49E-03,7.1263,0.5,,2.60E-03,4.98E-03,6.7939,0.5,,2.50E-03,4.49E-03,6.4564,0.5,,2.45E-03,4.24E-03,6.2813,0.5,,2.40E-03,4.00E-03,6.1074,0.5,,2.35E-03,3.77E-03,5.9336,0.5,,2.30E-03,3.55E-03,5.7576,0.5,,2.25E-03,3.33E-03,5.5778,0.5,,2.20E-03,3.12E-03,5.3962,0.5,,2.55E-03,4.73E-03,6.6267,0.5,,2.65E-03,5.23E-03,6.9613,0.5,,2.75E-03,5.76E-03,7.2976,0.5
3.78E-03,1.36E-02,12.123,0.6,,3.72E-03,1.30E-02,1.18E+01,0.6,,3.60E-03,1.19E-02,11.077,0.6,,3.48E-03,1.08E-02,10.345,0.6,,3.36E-03,9.80E-03,9.5994,0.6,,3.24E-03,8.89E-03,8.9761,0.6,,3.12E-03,8.05E-03,8.5664,0.6,,3.00E-03,7.26E-03,8.1525,0.6,,2.94E-03,6.88E-03,7.947,0.6,,2.88E-03,6.52E-03,7.7422,0.6,,2.82E-03,6.16E-03,7.5373,0.6,,2.76E-03,5.82E-03,7.3327,0.6,,2.70E-03,5.49E-03,7.1287,0.6,,2.64E-03,5.18E-03,6.9296,0.6,,3.06E-03,7.65E-03,8.3606,0.6,,3.18E-03,8.46E-03,8.7711,0.6,,3.30E-03,9.33E-03,9.2304,0.6
4.41E-03,2.07E-02,15.558,0.7,,4.34E-03,1.98E-02,1.52E+01,0.7,,4.20E-03,1.81E-02,14.424,0.7,,4.06E-03,1.65E-02,13.668,0.7,,3.92E-03,1.50E-02,12.911,0.7,,3.78E-03,1.36E-02,12.132,0.7,,3.64E-03,1.22E-02,11.328,0.7,,3.50E-03,1.10E-02,10.47,0.7,,3.43E-03,1.04E-02,10.037,0.7,,3.36E-03,9.80E-03,9.6018,0.7,,3.29E-03,9.25E-03,9.1707,0.7,,3.22E-03,8.74E-03,8.9099,0.7,,3.15E-03,8.26E-03,8.6712,0.7,,3.08E-03,7.78E-03,8.4325,0.7,,3.57E-03,1.16E-02,10.898,0.7,,3.71E-03,1.29E-02,11.736,0.7,,3.85E-03,1.43E-02,12.525,0.7
