Nodes,3157,,,,Nodes,4097,,,,Nodes,7777,,,,Nodes,22561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elements,983,,,,Elements,1283,,,,Elements,2483,,,,Elements,7361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average min length,0.040067,,,,Average min length,0.038437,,,,Average min length,0.027844,,,,Average min length,0.014643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average max length,0.044391,,,,Average max length,3.84E-02,,,,Average max length,0.029758,Final W,7.58E+00,,Average max length,0.015841,Final W,7.58E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Material 0,,,,,Material 1,,,,,Material 2,,,,,Material 3,,,,,Material 4,,,,,Material 5,,,,,Material 6,,,,,Material 7,,,,,Material 8,,,,,Material 9,,,,,Material 10,,,,,Material 11,,,,,Material 12,,,,,Material 13,,,,,Material 14,,,,,Material 15,,,,,Material 16,,,,,Material 17,,,,,Material 18,,,,,Material 19,,,,,Material 20,,,,,Material 21,,,,,Material 22,,,,,Material 23,,,,,Material 24,,,,,Material 25,,,,,Material 26,,,,,Material 27,,,,,Material 28,,,,,Material 29,,,,,Material 30,,,,,Material 31,,,,,Material 32,,,,,Material 33,,,,,Material 34,,,,,Material 35,,,,,Material 36,,,,,Material 37,,,,,Material 38,,,,,Material 39,,,,,Material 40,,,,,Material 41,,,,,Material 42,,,,,Material 43,,,,,Material 44,,,,,Material 45,,,,,Material 46,,,,,Material 47,,,,,Material 48,,,,,Material 49,,,,,Material 50,,,,,Material 51,,,,,Material 52,,,,,Material 53,,,,,Material 54,,,,,Material 55,,,,,Material 56,,,,,Material 57,,,
,,,,,,,,,,,,,,,,,,,,2.87E+02,2.02E+05,5.97E-01,,,261.3353279,1.75E+05,0.549509804,,,275.0414468,1.89E+05,0.574555196,,,294.3418999,2.10E+05,0.608702363,,,282.7136766,2.01E+05,0.601004963,,,257.0196987,1.74E+05,0.554257163,,,270.4261211,1.88E+05,0.578926965,,,289.2670396,2.08E+05,0.612601448,,,285.1711877,2.02E+05,0.599036068,,,259.1775133,1.74E+05,0.551957791,,,272.7437738,1.88E+05,0.576809076,,,291.8044698,2.09E+05,0.610718188,,,289.0073027,2.03E+05,0.595683141,,,262.5540936,1.75E+05,0.548051469,,,276.3601113,1.89E+05,0.573197689,,,295.780443,2.10E+05,0.607505633,,,271.1853522,2.01E+05,0.636541292,,,247.8911266,1.74E+05,0.590296087,,,260.0766027,1.88E+05,0.614802988,,,277.1193424,2.08E+05,0.647891353,,,265.750856,1.99E+05,0.641009603,,,243.0555911,1.73E+05,0.595574495,,,254.9218233,1.86E+05,0.619660898,,,271.5050284,2.06E+05,0.652184466,,,268.4681041,2.00E+05,0.638846035,,,245.4933404,1.73E+05,0.593023256,,,257.5191928,1.87E+05,0.617310185,,,274.3221753,2.07E+05,0.650103963,,,293.2629926,2.03E+05,0.584986832,,,266.0305727,1.75E+05,0.537137717,,,280.2361858,1.90E+05,0.562378846,,,300.2559104,2.11E+05,0.596888376,,,291.9243484,2.03E+05,0.586210617,,,264.8317868,1.75E+05,0.538563411,,,278.9574808,1.89E+05,0.563695223,,,298.8573269,2.10E+05,0.598052215,,,287.1491845,2.01E+05,0.590162126,,,260.6560159,1.74E+05,0.54316855,,,274.4820134,1.88E+05,0.567944117,,,293.9423046,2.09E+05,0.601852296,,,289.5467563,2.02E+05,0.588249552,,,262.7538913,1.75E+05,0.540942994,,,276.7197471,1.89E+05,0.565894019,,,296.3998158,2.10E+05,0.600011862,,,293.2629926,2.03E+05,0.584986832,,,266.0305727,1.75E+05,0.537137717,,,280.2361858,1.90E+05,0.562378846,,,300.2559104,2.11E+05,0.596888376,,,324.5313251,2.38E+05,0.63717141,,,330.3853962,2.40E+05,0.632995775,,,341.9936398,2.40E+05,0.600154857,,,348.6868611,2.42E+05,0.59542413,,,41.77316953,2.23E+04,0.290296969,,,26.79965445,2.02E+04,0.601877336,,,40.43028922,2.17E+04,0.298535401,,,26.06826428,1.95E+04,0.606687879,,,43.3978149,2.30E+04,0.284154382,,,27.6129763,2.10E+04,0.598378353,
8.12E+02,2.24E-01,1.43E+04,,,8.21E+02,2.24E-01,1.44E+04,,,8.23E+02,2.24E-01,1.44E+04,,,8.24E+02,2.24E-01,1.44E+04,,,8.24E+02,2.24E-01,1.44E+04,,,7.55E+02,2.24E-01,1.31E+04,,,7.91E+02,2.24E-01,1.38E+04,,,8.42E+02,2.24E-01,1.47E+04,,,8.06E+02,2.24E-01,1.42E+04,,,7.39E+02,2.24E-01,1.29E+04,,,7.74E+02,2.24E-01,1.35E+04,,,8.23E+02,2.24E-01,1.45E+04,,,8.15E+02,2.24E-01,1.43E+04,,,7.47E+02,2.24E-01,1.30E+04,,,7.83E+02,2.24E-01,1.37E+04,,,8.33E+02,2.24E-01,1.46E+04,,,8.30E+02,2.24E-01,1.45E+04,,,7.59E+02,2.24E-01,1.31E+04,,,7.96E+02,2.24E-01,1.38E+04,,,8.48E+02,2.24E-01,1.48E+04,,,7.88E+02,2.24E-01,1.36E+04,,,7.24E+02,2.24E-01,1.24E+04,,,7.58E+02,2.24E-01,1.30E+04,,,8.04E+02,2.24E-01,1.39E+04,,,7.67E+02,2.24E-01,1.33E+04,,,7.06E+02,2.24E-01,1.22E+04,,,7.38E+02,2.24E-01,1.28E+04,,,7.83E+02,2.24E-01,1.36E+04,,,7.78E+02,2.24E-01,1.34E+04,,,7.16E+02,2.24E-01,1.23E+04,,,7.48E+02,2.24E-01,1.29E+04,,,7.94E+02,2.24E-01,1.37E+04,,,8.39E+02,2.24E-01,1.47E+04,,,7.67E+02,2.24E-01,1.33E+04,,,8.05E+02,2.24E-01,1.40E+04,,,8.57E+02,2.24E-01,1.50E+04,,,8.34E+02,2.24E-01,1.46E+04,,,7.63E+02,2.24E-01,1.33E+04,,,8.00E+02,2.24E-01,1.40E+04,,,8.52E+02,2.24E-01,1.50E+04,,,8.16E+02,2.24E-01,1.44E+04,,,7.47E+02,2.24E-01,1.30E+04,,,7.83E+02,2.24E-01,1.37E+04,,,8.34E+02,2.24E-01,1.47E+04,,,8.25E+02,2.24E-01,1.45E+04,,,7.55E+02,2.24E-01,1.32E+04,,,7.92E+02,2.24E-01,1.39E+04,,,8.43E+02,2.24E-01,1.48E+04,,,8.39E+02,2.24E-01,1.47E+04,,,7.67E+02,2.24E-01,1.33E+04,,,8.05E+02,2.24E-01,1.40E+04,,,8.57E+02,2.24E-01,1.50E+04,,,9.21E+02,2.24E-01,1.62E+04,,,9.42E+02,2.24E-01,1.65E+04,,,9.56E+02,2.24E-01,1.71E+04,,,9.80E+02,2.24E-01,1.75E+04,,,1.31E+02,2.24E-01,2.09E+03,,,8.32E+01,2.24E-01,1.34E+03,,,1.28E+02,2.24E-01,2.02E+03,,,8.14E+01,2.24E-01,1.30E+03,,,1.35E+02,2.24E-01,2.17E+03,,,8.52E+01,2.24E-01,1.38E+03,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W(pJ),hm (um),F (uN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s)
3.22E-14,2.24E-03,3.39E-05,0.1,,5.12E-03,2.24E-03,8.13E+00,0.1,,3.29E-03,2.31E-03,4.3149,0.1,,3.61E-03,2.24E-03,5.7431,0.1,,3.60E-03,2.24E-03,5.3449,0.1,,3.17E-03,2.24E-03,4.7484,0.1,,3.40E-03,2.24E-03,5.0574,0.1,,3.72E-03,2.24E-03,5.5013,0.1,,3.53E-03,2.24E-03,5.1829,0.1,,3.12E-03,2.24E-03,4.6131,0.1,,3.33E-03,2.24E-03,4.9092,0.1,,3.64E-03,2.24E-03,5.3309,0.1,,3.57E-03,2.24E-03,5.2663,0.1,,3.15E-03,2.24E-03,4.6826,0.1,,3.36E-03,2.24E-03,4.9841,0.1,,3.68E-03,2.24E-03,5.4193,0.1,,3.62E-03,2.24E-03,5.3895,0.1,,3.19E-03,2.24E-03,4.79E+00,0.1,,3.41E-03,2.24E-03,5.0972,0.1,,3.74E-03,2.24E-03,5.55E+00,0.1,,3.57E-03,2.24E-03,5.22E+00,0.1,,3.15E-03,2.24E-03,4.65E+00,0.1,,3.37E-03,2.24E-03,4.9454,0.1,,3.68E-03,2.24E-03,5.3616,0.1,,3.49E-03,2.24E-03,5.038,1.00E-01,,3.09E-03,2.24E-03,4.5047,0.1,,3.30E-03,2.24E-03,4.7821,0.1,,3.59E-03,2.24E-03,5.1754,0.1,,3.53E-03,2.24E-03,5.13E+00,0.1,,3.12E-03,2.24E-03,4.5814,0.1,,3.34E-03,2.24E-03,4.8648,0.1,,3.64E-03,2.24E-03,5.2721,0.1,,3.63E-03,2.24E-03,5.4218,0.1,,3.19E-03,2.24E-03,4.809,0.1,,3.42E-03,2.24E-03,5.1249,0.1,,3.75E-03,2.24E-03,5.5819,0.1,,3.61E-03,2.24E-03,5.3784,0.1,,3.18E-03,2.24E-03,4.7724,0.1,,3.40E-03,2.24E-03,5.09E+00,0.1,,3.73E-03,2.24E-03,5.5374,0.1,,3.54E-03,2.24E-03,5.2204,0.1,,3.12E-03,2.24E-03,4.6409,0.1,,3.34E-03,2.24E-03,4.94E+00,0.1,,3.65E-03,2.24E-03,5.3712,0.1,,3.58E-03,2.24E-03,5.3018,0.1,,3.15E-03,2.24E-03,4.7085,0.1,,3.37E-03,2.24E-03,5.0148,0.1,,3.69E-03,2.24E-03,5.4575,0.1,,3.63E-03,2.24E-03,5.4218,0.1,,3.19E-03,2.24E-03,4.809,0.1,,3.42E-03,2.24E-03,5.1249,0.1,,3.75E-03,2.24E-03,5.5819,0.1,,4.16E-03,2.24E-03,6.1545,0.1,,4.24E-03,2.24E-03,6.3424,0.1,,4.17E-03,2.24E-03,6.26E+00,0.1,,4.27E-03,2.24E-03,6.4849,0.1,,4.17E-04,2.24E-03,6.37E-01,0.1,,3.68E-04,2.24E-03,4.95E-01,0.1,,4.09E-04,2.24E-03,6.15E-01,0.1,,3.61E-04,2.24E-03,4.78E-01,0.1,,4.27E-04,2.24E-03,0.66466,0.1,,3.77E-04,2.24E-03,5.16E-01,0.1
1.86E-02,4.47E-03,23.341,0.2,,2.56E-02,4.56E-03,1.70E+01,0.2,,2.01E-02,4.47E-03,15.745,0.2,,2.09E-02,4.47E-03,15.208,0.2,,2.10E-02,4.47E-03,15.46,0.2,,1.87E-02,4.47E-03,13.773,0.2,,1.99E-02,4.47E-03,14.649,0.2,,2.16E-02,4.47E-03,15.899,0.2,,2.05E-02,4.47E-03,15.015,0.2,,1.83E-02,4.47E-03,13.411,0.2,,1.94E-02,4.47E-03,14.244,0.2,,2.11E-02,4.47E-03,15.431,0.2,,2.08E-02,4.47E-03,15.245,0.2,,1.85E-02,4.47E-03,13.599,0.2,,1.97E-02,4.47E-03,14.452,0.2,,2.13E-02,4.47E-03,15.673,0.2,,2.11E-02,4.47E-03,15.579,0.2,,1.88E-02,4.47E-03,13.867,0.2,,2.00E-02,4.47E-03,14.755,0.2,,2.17E-02,4.47E-03,1.60E+01,0.2,,2.07E-02,4.47E-03,1.50E+01,0.2,,1.84E-02,4.47E-03,13.452,0.2,,1.96E-02,4.47E-03,14.278,0.2,,2.13E-02,4.47E-03,1.54E+01,0.2,,2.01E-02,4.47E-03,1.46E+01,2.00E-01,,1.80E-02,4.47E-03,13.055,0.2,,1.91E-02,4.47E-03,13.834,0.2,,2.07E-02,4.47E-03,14.937,0.2,,2.04E-02,4.47E-03,1.48E+01,2.00E-01,,1.82E-02,4.47E-03,13.261,0.2,,1.94E-02,4.47E-03,14.061,0.2,,2.10E-02,4.47E-03,15.201,0.2,,2.12E-02,4.47E-03,15.685,0.2,,1.88E-02,4.47E-03,13.947,0.2,,2.01E-02,4.47E-03,14.849,0.2,,2.18E-02,4.47E-03,16.138,0.2,,2.11E-02,4.47E-03,15.57,0.2,,1.87E-02,4.47E-03,13.855,0.2,,1.99E-02,4.47E-03,1.47E+01,2.00E-01,,2.17E-02,4.47E-03,16.016,0.2,,2.06E-02,4.47E-03,15.136,0.2,,1.84E-02,4.47E-03,13.503,0.2,,1.95E-02,4.47E-03,1.44E+01,2.00E-01,,2.12E-02,4.47E-03,15.559,0.2,,2.08E-02,4.47E-03,15.36,0.2,,1.86E-02,4.47E-03,13.686,0.2,,1.97E-02,4.47E-03,14.554,0.2,,2.14E-02,4.47E-03,15.796,0.2,,2.12E-02,4.47E-03,15.685,0.2,,1.88E-02,4.47E-03,13.947,0.2,,2.01E-02,4.47E-03,14.849,0.2,,2.18E-02,4.47E-03,16.138,0.2,,2.40E-02,4.47E-03,17.738,0.2,,2.45E-02,4.47E-03,18.247,0.2,,2.42E-02,4.47E-03,18.112,0.2,,2.48E-02,4.47E-03,18.713,0.2,,2.66E-03,4.47E-03,1.9434,0.2,,2.15E-03,4.47E-03,1.4468,0.2,,2.60E-03,4.47E-03,1.8767,0.2,,2.11E-03,4.47E-03,1.3956,0.2,,2.72E-03,4.47E-03,2.0271,0.2,,2.20E-03,4.47E-03,1.5074,0.2
7.03E-02,6.71E-03,41.826,0.3,,6.09E-02,7.22E-03,2.53E+01,0.3,,5.60E-02,6.71E-03,26.092,0.3,,5.79E-02,6.71E-03,27.895,0.3,,5.79E-02,6.71E-03,27.526,0.3,,5.19E-02,6.71E-03,24.621,0.3,,5.50E-02,6.71E-03,26.13,0.3,,5.95E-02,6.71E-03,28.278,0.3,,5.65E-02,6.71E-03,26.752,0.3,,5.07E-02,6.71E-03,23.993,0.3,,5.38E-02,6.71E-03,25.427,0.3,,5.81E-02,6.71E-03,27.464,0.3,,5.73E-02,6.71E-03,27.151,0.3,,5.13E-02,6.71E-03,24.317,0.3,,5.44E-02,6.71E-03,25.79,0.3,,5.88E-02,6.71E-03,27.886,0.3,,5.83E-02,6.71E-03,27.73,0.3,,5.22E-02,6.71E-03,24.79,0.3,,5.54E-02,6.71E-03,26.314,0.3,,5.99E-02,6.71E-03,28.493,0.3,,5.68E-02,6.71E-03,26.651,0.3,,5.10E-02,6.71E-03,23.94,0.3,,5.40E-02,6.71E-03,25.349,0.3,,5.83E-02,6.71E-03,27.343,0.3,,5.52E-02,6.71E-03,25.806,0.3,,4.97E-02,6.71E-03,23.251,0.3,,5.26E-02,6.71E-03,24.583,0.3,,5.67E-02,6.71E-03,26.462,0.3,,5.60E-02,6.71E-03,26.241,0.3,,5.04E-02,6.71E-03,23.607,0.3,,5.33E-02,6.71E-03,24.978,0.3,,5.75E-02,6.71E-03,26.917,0.3,,5.86E-02,6.71E-03,27.953,0.3,,5.24E-02,6.71E-03,24.961,0.3,,5.56E-02,6.71E-03,26.512,0.3,,6.02E-02,6.71E-03,28.73,0.3,,5.82E-02,6.71E-03,27.754,0.3,,5.21E-02,6.71E-03,24.797,0.3,,5.53E-02,6.71E-03,26.332,0.3,,5.98E-02,6.71E-03,28.522,0.3,,5.69E-02,6.71E-03,26.998,0.3,,5.10E-02,6.71E-03,24.184,0.3,,5.40E-02,6.71E-03,25.646,0.3,,5.84E-02,6.71E-03,27.725,0.3,,5.76E-02,6.71E-03,27.39,0.3,,5.16E-02,6.71E-03,24.5,0.3,,5.47E-02,6.71E-03,26,0.3,,5.91E-02,6.71E-03,28.138,0.3,,5.86E-02,6.71E-03,27.953,0.3,,5.24E-02,6.71E-03,24.961,0.3,,5.56E-02,6.71E-03,26.512,0.3,,6.02E-02,6.71E-03,28.73,0.3,,6.59E-02,6.71E-03,31.462,0.3,,6.74E-02,6.71E-03,32.345,0.3,,6.68E-02,6.71E-03,32.27,0.3,,6.86E-02,6.71E-03,33.314,0.3,,7.83E-03,6.71E-03,3.6366,0.3,,5.94E-03,6.71E-03,2.5773,0.3,,7.66E-03,6.71E-03,3.5144,0.3,,5.81E-03,6.71E-03,2.4881,0.3,,8.04E-03,6.71E-03,3.7902,0.3,,6.08E-03,6.71E-03,2.6821,0.3
1.51E-01,8.95E-03,59.762,0.4,,1.10E-01,9.88E-03,3.34E+01,0.4,,1.17E-01,8.95E-03,43.284,0.4,,0.11927,8.95E-03,41.632,0.4,,1.19E-01,8.95E-03,42.186,0.4,,0.10678,8.95E-03,37.845,0.4,,1.13E-01,8.95E-03,40.103,0.4,,1.22E-01,8.95E-03,43.304,0.4,,1.16E-01,8.95E-03,41.021,0.4,,1.04E-01,8.95E-03,36.883,0.4,,1.10E-01,8.95E-03,39.035,0.4,,1.19E-01,8.95E-03,42.088,0.4,,1.17E-01,8.95E-03,41.617,0.4,,1.06E-01,8.95E-03,37.378,0.4,,1.12E-01,8.95E-03,39.583,0.4,,1.21E-01,8.95E-03,42.711,0.4,,1.20E-01,8.95E-03,42.497,0.4,,1.07E-01,8.95E-03,38.097,0.4,,1.14E-01,8.95E-03,40.384,0.4,,1.23E-01,8.95E-03,43.632,0.4,,1.16E-01,8.95E-03,40.727,0.4,,1.05E-01,8.95E-03,36.703,0.4,,1.11E-01,8.95E-03,38.801,0.4,,1.19E-01,8.95E-03,41.759,0.4,,1.13E-01,8.95E-03,39.464,0.4,,1.02E-01,8.95E-03,35.65,0.4,,1.08E-01,8.95E-03,37.637,0.4,,1.16E-01,8.95E-03,40.443,0.4,,1.15E-01,8.95E-03,40.11,0.4,,1.03E-01,8.95E-03,36.193,0.4,,1.09E-01,8.95E-03,38.235,0.4,,1.17E-01,8.95E-03,41.118,0.4,,1.20E-01,8.95E-03,42.869,0.4,,1.08E-01,8.95E-03,38.386,0.4,,1.14E-01,8.95E-03,40.715,0.4,,1.24E-01,8.95E-03,44.027,0.4,,1.20E-01,8.95E-03,42.565,0.4,,1.07E-01,8.95E-03,38.139,0.4,,1.14E-01,8.95E-03,40.44,0.4,,1.23E-01,8.95E-03,43.706,0.4,,1.17E-01,8.95E-03,41.426,0.4,,1.05E-01,8.95E-03,37.201,0.4,,1.11E-01,8.95E-03,39.398,0.4,,1.20E-01,8.95E-03,42.517,0.4,,1.18E-01,8.95E-03,42.009,0.4,,1.06E-01,8.95E-03,37.684,0.4,,1.12E-01,8.95E-03,39.933,0.4,,1.21E-01,8.95E-03,43.127,0.4,,1.20E-01,8.95E-03,42.869,0.4,,1.08E-01,8.95E-03,38.386,0.4,,1.14E-01,8.95E-03,40.715,0.4,,1.24E-01,8.95E-03,44.027,0.4,,1.35E-01,8.95E-03,48.094,0.4,,1.38E-01,8.95E-03,49.427,0.4,,1.37E-01,8.95E-03,49.463,0.4,,1.41E-01,8.95E-03,51.037,0.4,,1.66E-02,8.95E-03,5.7149,0.4,,1.22E-02,8.95E-03,3.9581,0.4,,1.63E-02,8.95E-03,5.5253,0.4,,1.19E-02,8.95E-03,3.8236,0.4,,1.71E-02,8.95E-03,5.9548,0.4,,1.25E-02,8.95E-03,4.1167,0.4
2.62E-01,1.12E-02,76.369,0.5,,1.78E-01,1.20E-02,4.97E+01,0.5,,2.07E-01,1.12E-02,59.293,0.5,,0.20756,1.12E-02,58.117,0.5,,2.07E-01,1.12E-02,57.578,0.5,,0.18677,1.12E-02,51.814,0.5,,1.97E-01,1.12E-02,54.792,0.5,,2.13E-01,1.12E-02,59.094,0.5,,2.02E-01,1.12E-02,56.044,0.5,,1.83E-01,1.12E-02,50.569,0.5,,1.93E-01,1.12E-02,53.421,0.5,,2.07E-01,1.12E-02,57.447,0.5,,2.05E-01,1.12E-02,56.816,0.5,,1.85E-01,1.12E-02,51.207,0.5,,1.95E-01,1.12E-02,54.128,0.5,,2.10E-01,1.12E-02,58.292,0.5,,2.09E-01,1.12E-02,57.997,0.5,,1.88E-01,1.12E-02,52.146,0.5,,1.99E-01,1.12E-02,55.16,0.5,,2.14E-01,1.12E-02,59.528,0.5,,2.02E-01,1.12E-02,55.526,0.5,,1.83E-01,1.12E-02,50.094,0.5,,1.93E-01,1.12E-02,52.922,0.5,,2.07E-01,1.12E-02,56.919,0.5,,1.97E-01,1.12E-02,53.827,0.5,,1.78E-01,1.12E-02,48.68,0.5,,1.88E-01,1.12E-02,51.363,0.5,,2.01E-01,1.12E-02,55.144,0.5,,1.99E-01,1.12E-02,54.698,0.5,,1.80E-01,1.12E-02,49.408,0.5,,1.90E-01,1.12E-02,52.166,0.5,,2.04E-01,1.12E-02,56.056,0.5,,2.10E-01,1.12E-02,58.523,0.5,,1.89E-01,1.12E-02,52.617,0.5,,2.00E-01,1.12E-02,55.695,0.5,,2.15E-01,1.12E-02,60.087,0.5,,2.09E-01,1.12E-02,58.14,0.5,,1.88E-01,1.12E-02,52.293,0.5,,1.99E-01,1.12E-02,55.335,0.5,,2.14E-01,1.12E-02,59.659,0.5,,2.04E-01,1.12E-02,56.683,0.5,,1.84E-01,1.12E-02,51.075,0.5,,1.94E-01,1.12E-02,53.996,0.5,,2.09E-01,1.12E-02,58.128,0.5,,2.06E-01,1.12E-02,57.433,0.5,,1.86E-01,1.12E-02,51.7,0.5,,1.97E-01,1.12E-02,54.683,0.5,,2.12E-01,1.12E-02,58.904,0.5,,2.10E-01,1.12E-02,58.523,0.5,,1.89E-01,1.12E-02,52.617,0.5,,2.00E-01,1.12E-02,55.695,0.5,,2.15E-01,1.12E-02,60.087,0.5,,2.34E-01,1.12E-02,65.574,0.5,,2.40E-01,1.12E-02,67.36,0.5,,2.39E-01,1.12E-02,67.661,0.5,,2.45E-01,1.12E-02,69.678,0.5,,2.98E-02,1.12E-02,8.0874,0.5,,2.13E-02,1.12E-02,5.4126,0.5,,2.91E-02,1.12E-02,7.8081,0.5,,2.08E-02,1.12E-02,5.2307,0.5,,3.06E-02,1.12E-02,8.4338,0.5,,2.18E-02,1.12E-02,5.6268,0.5
