90.41777778,0.622123894,30603.33333,,95.15306122,0.616676452,29996.42857,,100.6390533,0.61058012,29335.76923,,121.9683282,0.596085125,28620.61856,,105.625,0.611233498,30500.41667,,112.4876033,0.605053245,29998.63636,,119.79,0.598319495,29051.5,,127.0493827,0.590709433,27228.33333,,135.671875,0.581196933,24766.875,,148.1816327,0.569576587,23168.57143,,167.7472222,0.556950778,22495.96466,,192.28,0.542113779,23188.70056
0.15,105.09,2034.4,,0.14,90.271,1865,,0.13,76.691,1700.8,,0.097,37.498,1147.6,,0.12,61.281,1521,,0.11,50.146,1361.1,,0.1,40.226,1197.9,,0.09,31.645,1029.1,,0.08,24.262,868.3,,0.07,17.973,726.09,,0.06,12.718,603.89,,0.05,8.4058,480.7
h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN)
3.00E-03,1.04E-02,15.034,,2.80E-03,8.36E-03,13.973,,2.60E-03,6.51E-03,12.838,,1.94E-03,2.34E-03,7.015,,2.40E-03,4.90E-03,9.5984,,2.20E-03,3.59E-03,8.6919,,2.00E-03,2.60E-03,7.3963,,1.80E-03,1.79E-03,6.1372,,1.60E-03,1.15E-03,4.9166,,1.40E-03,6.74E-04,3.7653,,1.20E-03,3.48E-04,2.7035,,1.00E-03,1.50E-04,1.7736
6.00E-03,6.43E-02,34.331,,5.60E-03,5.38E-02,30.84,,5.20E-03,4.41E-02,27.339,,3.88E-03,1.89E-02,16.29,,4.80E-03,3.20E-02,20.965,,4.40E-03,2.57E-02,18.449,,4.00E-03,2.04E-02,16.791,,3.60E-03,1.56E-02,15.131,,3.20E-03,1.15E-02,13.282,,2.80E-03,7.93E-03,11.432,,2.40E-03,4.90E-03,9.5987,,2.00E-03,2.60E-03,7.3961
9.00E-03,1.69E-01,59.952,,8.40E-03,1.45E-01,55.007,,7.80E-03,1.22E-01,49.909,,5.82E-03,5.28E-02,29.579,,7.20E-03,8.89E-02,40.918,,6.60E-03,7.22E-02,36.102,,6.00E-03,5.70E-02,31.09,,5.40E-03,4.36E-02,26.044,,4.80E-03,3.20E-02,20.97,,4.20E-03,2.30E-02,17.619,,3.60E-03,1.56E-02,15.129,,3.00E-03,9.65E-03,12.356
1.20E-02,0.33101,86.73,,1.12E-02,0.28209,79.345,,1.04E-02,0.23653,71.989,,7.76E-03,0.10592,45.364,,9.60E-03,0.17784,60.794,,8.80E-03,0.14257,53.801,,8.00E-03,0.11366,47.256,,7.20E-03,8.88E-02,40.915,,6.40E-03,6.69E-02,34.44,,5.60E-03,4.79E-02,27.735,,4.80E-03,3.20E-02,20.97,,4.00E-03,2.04E-02,16.791
1.50E-02,0.55643,114.85,,1.40E-02,0.47141,104.34,,1.30E-02,0.39812,95.666,,9.70E-03,0.18249,61.608,,1.20E-02,0.30455,80.41,,1.10E-02,0.24787,72.299,,1.00E-02,0.19677,64.058,,9.00E-03,0.15102,55.61,,8.00E-03,0.11368,47.262,,7.00E-03,8.31E-02,39.318,,6.00E-03,5.70E-02,31.096,,5.00E-03,3.57E-02,22.668
1.80E-02,0.86935,147.64,,1.68E-02,0.73623,134.71,,1.56E-02,0.61375,121.51,,1.16E-02,0.2835,77.5,,1.44E-02,0.47396,101.52,,1.32E-02,0.3811,89.88,,1.20E-02,0.30452,80.417,,1.08E-02,0.23719,70.643,,9.60E-03,0.17784,60.8,,8.40E-03,0.12719,50.41,,7.20E-03,8.89E-02,40.919,,6.00E-03,5.70E-02,31.097
2.10E-02,1.2488,179.72,,1.96E-02,1.063,164.74,,1.82E-02,0.89264,149.81,,1.36E-02,0.40874,93.147,,1.68E-02,0.69175,125.99,,1.54E-02,0.55983,111.8,,1.40E-02,0.4416,97.449,,1.26E-02,0.34103,85.266,,1.12E-02,0.25875,73.958,,9.80E-03,0.1872,62.432,,8.40E-03,0.12718,50.408,,7.00E-03,8.31E-02,39.318
2.44E-02,1.6962,211.64,,2.26E-02,1.4512,194.78,,2.08E-02,1.2212,177.59,,1.55E-02,0.57065,113.05,,1.95E-02,0.95006,149.72,,1.77E-02,0.7734,134.03,,1.60E-02,0.6147,117.95,,1.44E-02,0.47399,101.56,,1.28E-02,0.35382,86.905,,1.12E-02,0.25873,73.96,,9.60E-03,0.17784,60.803,,8.00E-03,0.11367,47.261
2.77E-02,2.2177,243.58,,2.57E-02,1.8959,224.41,,2.37E-02,1.6025,205.36,,1.76E-02,0.75886,132.68,,2.21E-02,1.2531,173.23,,2.01E-02,1.0215,155.58,,1.82E-02,0.81602,137.99,,1.62E-02,0.63351,120,,1.44E-02,0.47406,101.59,,1.26E-02,0.34104,85.285,,1.08E-02,0.23721,70.665,,9.00E-03,0.15106,55.622
3.11E-02,2.8136,276.09,,2.89E-02,2.409,254.45,,2.66E-02,2.0357,232.95,,1.97E-02,0.97354,151.69,,2.47E-02,1.5927,196.38,,2.25E-02,1.3072,177.12,,2.04E-02,1.0462,157.57,,1.82E-02,0.81603,138,,1.60E-02,0.61478,117.99,,1.40E-02,0.4417,97.495,,1.20E-02,0.3045,80.439,,1.00E-02,0.19678,64.077
3.44E-02,3.4777,309.52,,3.20E-02,2.9836,284.76,,2.95E-02,2.5273,260.99,,2.18E-02,1.2184,170.74,,2.73E-02,1.9793,219.74,,2.49E-02,1.6236,198.37,,2.26E-02,1.3072,177.13,,2.01E-02,1.0216,155.62,,1.77E-02,0.77359,134.09,,1.54E-02,0.55996,111.86,,1.32E-02,0.38117,89.902,,1.10E-02,0.24785,72.321
3.73E-02,4.2508,349.88,,3.50E-02,3.6259,317.68,,3.24E-02,3.0701,289.09,,2.39E-02,1.4867,189.47,,2.98E-02,2.411,243.54,,2.73E-02,1.9795,219.77,,2.47E-02,1.5931,196.43,,2.21E-02,1.2533,173.29,,1.95E-02,0.95028,149.8,,1.68E-02,0.69198,126.09,,1.44E-02,0.47415,101.63,,1.20E-02,0.30449,80.444
4.02E-02,5.1092,389.67,,3.77E-02,4.3607,355.28,,3.52E-02,3.6761,320.42,,2.60E-02,1.7846,208.31,,3.24E-02,2.884,267.2,,2.96E-02,2.3737,241.59,,2.69E-02,1.9124,215.89,,2.41E-02,1.504,190.62,,2.12E-02,1.1477,165.47,,1.84E-02,0.83786,140.02,,1.56E-02,0.57806,113.94,,1.30E-02,0.36744,88.427
4.31E-02,6.0521,428.71,,4.04E-02,5.1699,392.36,,3.77E-02,4.361,355.33,,2.81E-02,2.112,227.34,,3.47E-02,3.406,292.6,,3.19E-02,2.8028,263.35,,2.90E-02,2.2629,235.67,,2.60E-02,1.7813,208.12,,2.30E-02,1.3625,181.04,,1.99E-02,0.9977,153.71,,1.68E-02,0.69206,126.12,,1.40E-02,0.44176,97.53
